layer_idx,func,mean S,mean T,mean C,std S,std T,std C,checkpoint
0,cosine,0.0,1.0,0.0,0.0,4.40609626011835e-16,0.0,1000
0,l2,18.98719684952708,0.0,18.98719684952708,0.3958954145529785,0.0,0.3958954145529785,1000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,1000
0,spim,0.0,1.0,0.0,0.0,4.40609626011835e-16,0.0,1000
1,cosine,0.36470700264079553,0.8062099623992572,-0.18760363141467165,0.06716442457461605,0.013163059015681986,0.0324403744658253,1000
1,l2,21.833366489369254,14.056536321635333,23.44168548423725,0.9768489820122193,0.4945103589163409,0.10233159293585466,1000
1,norm_ratio,0.6204772380937946,0.9925642715956701,0.1419324017823082,0.02095497419475443,0.045148321183149154,0.004368453304077896,1000
1,spim,0.2262141715760212,0.8003981579173596,-0.026612329493380785,0.04218655564433495,0.04246418304034808,0.0045916667843535295,1000
2,cosine,0.3639100725430582,0.5659376513967225,-0.22113845101060495,0.15892685024202693,0.08216489337548169,0.049733406374461865,1000
2,l2,25.540259216431217,22.991964417195263,24.01507274691744,2.6177898952365726,1.1714299156588057,0.22748256358355665,1000
2,norm_ratio,1.0180812628398401,1.1632089346777927,0.197526151752761,0.061001818350772154,0.12975163339949713,0.007575062564862115,1000
2,spim,0.3763725677936628,0.6673566714683906,-0.04372923926205336,0.16906539842843493,0.17172846385881016,0.010135722100543103,1000
3,cosine,0.2503707861093954,0.3879083824368842,-0.3334241867159302,0.28931174987678715,0.21416356764115724,0.07271733040191436,1000
3,l2,35.56125630112808,34.274042549935196,24.977894572425,4.432962549443666,3.3188806484820073,0.3226658791290005,1000
3,norm_ratio,1.5191202050251014,1.6089223387372618,0.24112495662214908,0.1766433187626593,0.23522990711347574,0.011918229104156061,1000
3,spim,0.4156522904931164,0.6643945739677906,-0.08004686446090693,0.43342199946235477,0.4431160639601991,0.0160719991527925,1000
4,cosine,0.2529556021506971,0.271396380709572,-0.3771912175294919,0.3315408753393477,0.2913648213508214,0.0821451304437533,1000
4,l2,41.447986423412644,41.696062634648854,25.32947082731754,5.091358288264841,5.333326396760541,0.4727291083294277,1000
4,norm_ratio,1.841346716629412,1.8701469378246502,0.25106779338364704,0.28656685143411537,0.2699162675839815,0.015384682536983359,1000
4,spim,0.53429063203808,0.5604920975110458,-0.0947827295491257,0.6007592460240835,0.613208116370902,0.0220164009013781,1000
5,cosine,0.35308995748574373,0.23724110187477204,-0.37409511748268887,0.24514873909062432,0.27638788391309027,0.07916431583713743,1000
5,l2,36.97636154945649,38.777199251294576,24.934675195594647,4.2104637401111304,5.795130346601042,0.5247903607370925,1000
5,norm_ratio,1.709728108474173,1.6733749676323602,0.21887581743437126,0.3134426366086143,0.20991324013175847,0.020658706531814324,1000
5,spim,0.6598230797084991,0.42271700376802523,-0.08254008347652421,0.47356205094235065,0.48555759976502993,0.022496619780740308,1000
6,cosine,0.6196903223637671,0.2632734745541427,-0.08638155238911563,0.077572207798326,0.16449161766382142,0.12088648733713177,1000
6,l2,22.36021434572789,27.82743355646951,23.474624999174257,2.476942779972932,3.32304137427444,0.49605863797403793,1000
6,norm_ratio,1.196839927841059,1.0134156147490638,0.15827594491768177,0.16435677469086538,0.1116606795587286,0.014639215540220317,1000
6,spim,0.7457758938126486,0.2687280975756523,-0.014503991388300922,0.15580028044679853,0.17549535927762908,0.02089992309438892,1000
0,cosine,0.0,1.0,0.0,0.0,4.947805201957609e-16,0.0,2000
0,l2,18.967120550028437,0.0,18.967120550028437,0.4322949210659776,0.0,0.4322949210659776,2000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,2000
0,spim,0.0,1.0,0.0,0.0,4.947805201957609e-16,0.0,2000
1,cosine,0.15402800978033226,0.8988496878325192,-0.2089506058970209,0.1153309271600895,0.010659114289084939,0.03990056041925951,2000
1,l2,23.411023085630646,10.624446091644934,23.39450905455812,1.1435472615725915,0.5586522145997226,0.11033836910520692,2000
1,norm_ratio,0.46517127567936667,1.0619288481914677,0.12716706540236702,0.022414304387479864,0.05432515248656409,0.004608828676205122,2000
1,spim,0.07178539990157462,0.9547525589888043,-0.026537958890378893,0.05384768416466667,0.05480423230422104,0.004999310029519524,2000
2,cosine,0.18506605875891868,0.7210533021970571,-0.32470966333161067,0.2307079079116032,0.05528776041985817,0.0666584590076455,2000
2,l2,27.08710797494585,19.61326092039363,24.162386285829953,3.714838190249878,1.7012693211700294,0.2590555758445051,2000
2,norm_ratio,0.8837240662396899,1.2278789380414732,0.17072578472831185,0.05667419911431692,0.18870633027695138,0.007217299366653207,2000
2,spim,0.1622319716185352,0.8932360140792793,-0.055467985697814436,0.1992395382027753,0.20499329885213285,0.011926807008660417,2000
3,cosine,0.08353787605272928,0.5116068980182368,-0.403174763662589,0.356863870299238,0.17360680845040902,0.12533293106760113,2000
3,l2,39.32408524490082,34.07094084201982,25.040956149359673,6.546203825107297,3.4666962833707133,0.7275602582905365,2000
3,norm_ratio,1.5354692320650878,1.7480544439487338,0.21688637219083085,0.1385255919717392,0.3649874883133675,0.016111627122333542,2000
3,spim,0.13814559602364374,0.9503756892795733,-0.08852128530321704,0.5146763010883384,0.5405424086277765,0.0338190111400068,2000
4,cosine,0.058079033075357694,0.43420526336107634,-0.5438070334744708,0.39479215432894593,0.22484623853985652,0.12855517536840091,2000
4,l2,48.073698801315324,43.90144524969374,26.456732143866763,8.991115317887484,6.099935972314989,1.3537547943830275,2000
4,norm_ratio,1.9601223107866808,2.1549055401833446,0.26620151699627337,0.23524140230631252,0.5067021988307638,0.045166121486608965,2000
4,spim,0.11485598482223433,1.033403177425478,-0.14825916224771227,0.7413244253653835,0.7911109809463359,0.06095235474466639,2000
5,cosine,0.10870967138402576,0.423431134694225,-0.599702041936937,0.3555463780966099,0.20445667026684902,0.10580933818816383,2000
5,l2,46.5613090203783,44.29045044030773,27.354673128976636,10.539491711348656,8.366988343089412,1.8582539893317784,2000
5,norm_ratio,1.9268201855477713,2.15207009046928,0.3000475291440578,0.2782528714852244,0.5960301382790202,0.07434638315373213,2000
5,spim,0.17277696051503744,1.0123714439572102,-0.18514840447224748,0.7081923486548524,0.778485674680889,0.07864361818899582,2000
6,cosine,0.37593713116890276,0.30096571083843465,-0.49501756132077096,0.30630944906232677,0.16685668787778948,0.07279124044528584,2000
6,l2,35.64984460671933,38.69331642843138,26.909548573887264,11.361328220865786,9.140004617040544,1.7698001819574611,2000
6,norm_ratio,1.6367084372681047,1.6662309948928393,0.2819302472303099,0.2712331122183173,0.6271126706035932,0.08445764267185236,2000
6,spim,0.5531709140210039,0.5909248530455814,-0.14409576706658536,0.4960158331344479,0.5572264652761556,0.0650889605722019,2000
0,cosine,0.0,1.0,0.0,0.0,4.83500675276896e-16,0.0,3000
0,l2,18.977222034330165,0.0,18.977222034330165,0.4094036650421018,0.0,0.4094036650421018,3000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,3000
0,spim,0.0,1.0,0.0,0.0,4.83500675276896e-16,0.0,3000
1,cosine,0.09039396678732546,0.9352275913413006,-0.2211392757704684,0.1567791905846649,0.011752025928761829,0.060922592497266725,3000
1,l2,23.41169825535376,8.559384367427414,23.377692216576385,1.258777820674066,0.8226000400314577,0.15122849546941228,3000
1,norm_ratio,0.37981894738179395,1.0608396449115105,0.12332598729099008,0.03535920991357032,0.06218914295835192,0.004875018379683539,3000
1,spim,0.034886385302012976,0.9922735590076468,-0.027159944309659696,0.05935278936164542,0.062128894878220334,0.007084653884753533,3000
2,cosine,0.07001012247741084,0.8112842357904704,-0.3455155161894544,0.2955300975975725,0.05127720741271146,0.11774476432939972,3000
2,l2,27.283431611238,16.685345856034363,24.287751053094482,4.132220752170041,2.296960577406532,0.4677658767713748,3000
2,norm_ratio,0.766632000958738,1.2345938605926539,0.17670584358078656,0.07828099348298148,0.21899581946099542,0.010124002064157218,3000
2,spim,0.0524612503214589,1.0087534177888506,-0.06121466811030947,0.21921570746767696,0.2331836670236327,0.022016175651690787,3000
3,cosine,0.05476849063763217,0.6039919730774529,-0.4235906392683517,0.43042167390193764,0.16771399643225643,0.17903430573952328,3000
3,l2,36.58669275444635,29.53765636340054,25.664710261543267,8.485388164248171,5.250830254648369,1.2691040560389728,3000
3,norm_ratio,1.363657655567445,1.6160782147284944,0.254959827998783,0.19343101889066883,0.4716354332465748,0.0306177131983676,3000
3,spim,0.07220917130407833,1.0389694061423456,-0.11117857744642402,0.5506667384442939,0.5887439335703578,0.059555771589147107,3000
4,cosine,0.026912882572161134,0.5179707163748968,-0.5738917203800848,0.45622488820561446,0.22041441213451587,0.16762840513965346,3000
4,l2,45.73631925455052,39.90248087134732,27.946714743417907,11.620757255235272,8.789427451692072,2.1499215690610285,3000
4,norm_ratio,1.8166908212515231,2.04529082123143,0.34442044459040067,0.30613895187166357,0.6619150743168093,0.06751980882644007,3000
4,spim,0.023655932047656012,1.1813831834457085,-0.20503911549336465,0.8011371858189824,0.871291077336544,0.10028662630408378,3000
5,cosine,0.0463826894046271,0.5070309519710938,-0.6429247155681606,0.4305126643098358,0.21331571634060556,0.14385405356989375,3000
5,l2,47.57305359928679,43.363655607793866,29.639797735640453,13.825510398846601,12.40841324348232,3.0726090946774933,3000
5,norm_ratio,1.9176190957973993,2.194390518065436,0.41088307840812505,0.37653399773806817,0.8184201050262389,0.1141045135770066,3000
5,spim,0.016147525986408055,1.2587150159421236,-0.2748625419285317,0.861133685562131,0.9738226687249496,0.1368279509637165,3000
6,cosine,0.26321904648968,0.5025086477929578,-0.6485231581595357,0.39738609427543203,0.1516464471003871,0.09537896428931879,3000
6,l2,36.653567441127535,35.847196842346186,29.73478057853899,14.921247025287716,13.992382565819298,3.1436975874795703,3000
6,norm_ratio,1.5379888301742695,1.723919542854428,0.38209430139247813,0.3839590876299725,0.8570142374714296,0.1331029239936391,3000
6,spim,0.2895954165710423,0.9662652768623513,-0.2558606934333937,0.647958837811633,0.7612436857996091,0.1245180334612355,3000
0,cosine,0.0,1.0,0.0,0.0,4.3251314358032157e-16,0.0,4000
0,l2,19.020317614703355,0.0,19.020317614703355,0.3984108661236687,0.0,0.3984108661236687,4000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,4000
0,spim,0.0,1.0,0.0,0.0,4.3251314358032157e-16,0.0,4000
1,cosine,0.05139443059026882,0.9520367854226691,-0.2196101290360568,0.18426435804748778,0.011560572628000832,0.08085699140287071,4000
1,l2,23.39255441899787,7.412293346153355,23.347367381258294,1.3105988932439718,0.9527270572087552,0.20124905480715105,4000
1,norm_ratio,0.332968717753649,1.059880914739069,0.12383491360658293,0.042741898256957636,0.06705611920457356,0.005029077831498864,4000
1,spim,0.017899973891434745,1.0091371823556112,-0.027037156247045863,0.061094902941663136,0.06651511983563434,0.009519414414716898,4000
2,cosine,0.04526078128228771,0.8599359855598715,-0.3583344490182076,0.331974353953547,0.044782008884259636,0.14557265379609952,4000
2,l2,26.450115603860002,14.453030595362057,24.47235144037947,4.3431546069321465,2.8021902067285422,0.683636651170544,4000
2,norm_ratio,0.674229060089513,1.205913716945398,0.19047825893387244,0.09067586917849303,0.23369257151029996,0.014926056120758197,4000
2,spim,0.02714524560765988,1.0419643982782656,-0.06910964388592541,0.21912811158483925,0.2380174023793046,0.032069684807757244,4000
3,cosine,0.05785346323237713,0.6883683792166823,-0.43930434338468494,0.4707447326978421,0.14919336284909224,0.2053595108691852,4000
3,l2,33.524861902426586,25.427657502158173,26.33075866101351,9.344443739249092,6.413193503996512,1.731296414342007,4000
3,norm_ratio,1.1929509282635156,1.4964899607762208,0.29500420342809935,0.216988257364629,0.5174944073686096,0.04225521202806551,4000
3,spim,0.052698478208029025,1.0823651386875315,-0.1350636168955605,0.5381626270332613,0.584407773601354,0.0821032173041199,4000
4,cosine,0.04506084203870537,0.6115265012435491,-0.5801935006396147,0.48129766429470755,0.1863712732016939,0.18037738837484985,4000
4,l2,40.007672811927215,33.95224839389807,29.01059101749034,12.558806723087217,10.57144185620009,2.955497750652755,4000
4,norm_ratio,1.5347899753830616,1.8463294304427544,0.4008099663832402,0.32930814207318143,0.7240199697289136,0.09365155482907446,4000
4,spim,0.014326920553127644,1.2312654350019154,-0.24559235555504322,0.7502665557615428,0.8511985573159064,0.1388052035243026,4000
5,cosine,0.10986422675680367,0.5722441001971008,-0.6543993434786805,0.4802474215671932,0.1968747177588276,0.1359705912635896,4000
5,l2,41.09354438968108,37.59923287176439,31.145708026802577,15.564031018343053,15.221310961181505,4.16376545286235,4000
5,norm_ratio,1.6529960376200612,1.9580987236169929,0.484012131070839,0.4176263319598664,0.9499741481527977,0.15833080679225522,4000
5,spim,0.06994346524855423,1.2631652081070146,-0.3331086733555689,0.8683388218451042,1.025915080494653,0.18584102225712332,4000
6,cosine,0.279565063926591,0.62509964532047,-0.6306659881579139,0.4366773259800907,0.13065073082328466,0.11893405597327218,4000
6,l2,31.91721416104162,30.62890192705335,30.99492603097175,14.685416441120356,14.902142780617446,4.423345749696845,4000
6,norm_ratio,1.2770493136459475,1.572027625238938,0.44248327464265963,0.3658055677869665,0.8898780309562407,0.17512912461920643,4000
6,spim,0.23871074201416395,1.0568078292758742,-0.29551857129003806,0.6194088389696013,0.7843367116299759,0.17992330731603398,4000
0,cosine,0.0,1.0,0.0,0.0,4.981001272520016e-16,0.0,5000
0,l2,18.99886811216233,0.0,18.99886811216233,0.41699301978486886,0.0,0.41699301978486886,5000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,5000
0,spim,0.0,1.0,0.0,0.0,4.981001272520016e-16,0.0,5000
1,cosine,0.015172622411678303,0.9586849387351732,-0.220478824056022,0.19535164896003387,0.010723395252772387,0.10550099921569633,5000
1,l2,23.45693658519415,6.957402004298439,23.352864670016288,1.265558684313153,0.9378425952328908,0.28483458525632055,5000
1,norm_ratio,0.31047772020805425,1.066694739434422,0.12991142636248423,0.04264247523469415,0.06878916546367266,0.005652235200438638,5000
1,spim,0.0057834639581067744,1.0227568903611444,-0.02854035431925115,0.05978838450573803,0.06909701235902357,0.01354548633388027,5000
2,cosine,-0.0023461820117196236,0.8913308197373788,-0.3612582912199443,0.3424741945720297,0.04036545300557882,0.1821178795091294,5000
2,l2,26.115141867764,12.997680956113655,24.71268910912653,3.8939008218176867,2.929716300364921,1.0446257363800513,5000
2,norm_ratio,0.6006483847104798,1.207663248195226,0.21170217021931909,0.09366179677421196,0.2281404711349003,0.021634482459456258,5000
2,spim,-0.0013062540917879153,1.080520697794167,-0.07921444370237911,0.19939139563865504,0.23469061823771256,0.04940706345826012,5000
3,cosine,0.016683100405909947,0.7551988639698727,-0.4411679015095886,0.4686633558996831,0.12821425148799812,0.22660810540638535,5000
3,l2,32.13055276272065,22.785488240132068,27.00094444803476,8.38529391311781,6.552417491939554,2.3065758397073735,5000
3,norm_ratio,1.0635836957645055,1.466365438144835,0.33824862390979027,0.21993639166155574,0.49024662618942355,0.05832885186710704,5000
