layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,cosine,1.0,0.0,0.0,0.0,0.0,1.588649961370974e-16,0.0,0.0,0.0,0.0,1000
0,l2,0.0,27.594397098840293,27.594397098840293,27.594397098840293,27.594397098840293,0.0,0.9742653284224994,0.9742653284224994,0.9742653284224994,0.9742653284224994,1000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,spim,1.0,0.0,0.0,0.0,0.0,1.588649961370974e-16,0.0,0.0,0.0,0.0,1000
1,cosine,0.5679471777560845,0.47666717607246334,0.4595830991042675,0.38778763655865395,-0.011022864573939058,0.03181863821967036,0.04830442045907014,0.019023974102060984,0.029746986980038418,0.016303888628256585,1000
1,l2,18.688752791236617,19.9991639452811,20.120624517167943,20.877978908474027,22.792656156616008,0.5675076392104027,0.6943727437073188,0.24162293428216997,0.3076906557148333,0.22986333640221854,1000
1,norm_ratio,0.5869148100596292,0.5723303543443302,0.4976673601834899,0.42818407697694744,0.08546394913417253,0.057456599598457656,0.015753656788827043,0.025634309972256547,0.018034937542131927,0.08277827212972445,1000
1,spim,0.33251214459501344,0.27287054864848376,0.22878561361064745,0.16609745354847538,-0.0002657604026201455,0.029751064475214653,0.02896460786594397,0.016521338856314564,0.01531945937064349,0.00013275038467717802,1000
2,cosine,0.308590165059704,0.5088363684338345,0.5527561014047689,0.527561393324677,-0.004746851972833749,0.030324257524699777,0.09802871203443207,0.03342031042714117,0.0324607176065432,0.0034459682949563113,1000
2,l2,21.56727525653288,19.579109375352775,18.88467107659761,19.22581616184127,22.787035588264903,0.23289329898654346,1.5444732679932922,0.5083426897449911,0.4690326716920721,0.18143274511714252,1000
2,norm_ratio,0.31766299364910816,0.6047442314924133,0.5533160070310357,0.5469359711229278,0.095318753166482,0.07591611594317585,0.02684936541749189,0.036549623453138495,0.039049229550009446,0.06625370240770309,1000
2,spim,0.09913332425504588,0.30661390952640855,0.3052966573196958,0.28922281637126296,-0.00026670747241329217,0.030807189015219578,0.05521424334255617,0.02080975779256078,0.03470097650311064,7.175753774584048e-05,1000
3,cosine,0.1787024785010677,0.47170900886589673,0.6286814301161627,0.6310320066367918,-0.005708767567816857,0.05285280501306182,0.08253299348459923,0.030969169962508366,0.039939501777521876,0.007590749957906172,1000
3,l2,22.256354475769136,20.01257682020571,17.728051347442392,17.592190837768644,22.681879575884427,0.24652061311349777,1.135221664650234,0.47082584555601964,0.6692106387949948,0.06844686137127969,1000
3,norm_ratio,0.16374915353874228,0.544088049178709,0.5460597646099417,0.5857468410638227,0.048033743901038074,0.05424134200524616,0.030042180370981914,0.03852229266166194,0.04052789914514911,0.04445084451398567,1000
3,spim,0.03125219345895659,0.25623114502658506,0.34280617109617006,0.36980720638684494,-9.671596855681944e-05,0.018771687811013262,0.04433519358893373,0.023104374936673392,0.037097034768408824,6.147125005679232e-05,1000
4,cosine,0.1680292262571101,0.496581125628168,0.6344880655044082,0.6413352963623545,-0.004679990760053405,0.043864172355372745,0.0600366962129323,0.019253747158909207,0.041975745784337895,0.02430268851674649,1000
4,l2,22.39906256077108,19.64414240101693,17.637638330832484,17.401658679644616,22.637292083140395,0.1356954081343637,0.799967652335677,0.30713174025645035,0.7846134071408927,0.011572787164995045,1000
4,norm_ratio,0.07984678378158572,0.5515247168993554,0.5385756797760851,0.574504068401377,0.01509844883502524,0.03044601326441437,0.02996604110706437,0.025254977299324643,0.02626571546129113,0.016450812709765148,1000
4,spim,0.013906102785580077,0.27524782859984903,0.34160754623340617,0.36918854329459405,4.997908657057094e-05,0.008108953969811653,0.04396848683004125,0.016963464038332748,0.038609494180719316,0.00020973056390466283,1000
5,cosine,0.2698146603797907,0.6262943154448936,0.5732088148308844,0.7249434535945749,0.10673236704357131,0.04676543369924677,0.024059411633313755,0.04204047402571268,0.053989453828374896,0.11400103347222687,1000
5,l2,22.452887865143904,17.788709708311536,18.742994375495012,16.163764391025836,22.613401948762448,0.07975494804930916,0.3598459172597046,0.4406187219539064,0.8545582344469698,0.012954251495774945,1000
5,norm_ratio,0.03232401168998294,0.5363935834481496,0.4636931904199035,0.5380883314927943,0.019594505525902438,0.01263853164917905,0.04196954264225201,0.026275229182811135,0.025003745672012932,0.013634433101609349,1000
5,spim,0.008646329075624038,0.33582358622770897,0.2648465288428696,0.38940689657238464,0.001276659281412648,0.004029407954176906,0.027987773477068694,0.010144991840018172,0.025014030167877246,0.0005242521061224698,1000
6,cosine,0.3491900208848725,0.8024861852415277,0.6264850102346496,0.8328883145406003,0.46690540730805014,0.06771321178568075,0.04799761316197829,0.07448410214050934,0.06603901633593647,0.2161305237494413,1000
6,l2,22.756031810121748,15.849140719173718,18.89501697187143,15.006579278320334,22.689083428173628,0.029286675035951715,0.13883909744143635,0.275299369351786,1.0708218492027246,0.004103235207229034,1000
6,norm_ratio,0.01148572959870571,0.4588067749006351,0.368059338942724,0.4763316226734706,0.016976311575864957,0.003619923703703964,0.0504830555833615,0.051798855756319,0.008277354984863075,0.005404911886928115,1000
6,spim,0.0038784916442257127,0.36580888023791197,0.2268894080122695,0.39654384008751337,0.0068793800180792525,0.0011465184958252583,0.02119041787737535,0.011258815011443431,0.02960983669341057,0.0009588685678929708,1000
0,cosine,1.0,0.0,0.0,0.0,0.0,1.403147108609367e-16,0.0,0.0,0.0,0.0,2000
