layer_idx,func,mean S,mean T,mean C,std S,std T,std C,checkpoint
0,cosine,0.0,1.0,0.0,0.0,4.482295219499258e-16,0.0,1000
0,l2,18.74999579126113,0.0,18.74999579126113,0.4364080843018305,0.0,0.4364080843018305,1000
0,norm_ratio,0.0,1.0,0.0,0.0,0.0,0.0,1000
0,spim,0.0,1.0,0.0,0.0,4.482295219499258e-16,0.0,1000
1,cosine,0.4140690564893592,0.8081586922554775,-0.1995195043756043,0.06959198108710664,0.012772440247490326,0.031149877965293747,1000
1,l2,21.060216590875445,13.78522904094846,23.470770661816243,1.0274558512847634,0.5156454418514761,0.10430508150094757,1000
1,norm_ratio,0.6113044972141908,0.9591099046388651,0.1407318475689571,0.02059823371651908,0.04748653147344899,0.004184473402372467,1000
1,spim,0.252865937558657,0.7752250000448432,-0.02809093760350014,0.04249174524373988,0.04258950900414263,0.004550928190523543,1000
2,cosine,0.48668869168286727,0.5641654239048196,-0.26549871118795754,0.1777746922623665,0.06180840991881279,0.05031491129878477,1000
2,l2,22.310194035842716,21.46240232939568,24.160463443989613,3.649622266068122,1.342427423581047,0.2137775604810539,1000
2,norm_ratio,0.9656991971422764,1.0194118225183413,0.1933675429341375,0.0492092066996744,0.17219217624360697,0.00708531579614519,1000
2,spim,0.468442222158695,0.582869705224752,-0.05131192738344704,0.1675384579186735,0.1666485874717626,0.00978643285632645,1000
3,cosine,0.44267969676548585,0.3607747811306983,-0.36637455144038794,0.32118941495068537,0.1765687088161611,0.07266820464694011,1000
3,l2,27.92731389811124,29.572855271575257,24.980899429450517,7.833195129909235,4.345049407172912,0.33998003023825885,1000
3,norm_ratio,1.3323846190834758,1.2658698813618925,0.22837370329336878,0.17941218487713345,0.37874560729086343,0.021522845321727078,1000
3,spim,0.5823413621392648,0.500688582345442,-0.08302994448470691,0.3998644557072615,0.41061990380941055,0.015792117526077325,1000
4,cosine,0.4671934604643137,0.20722452535227093,-0.3997748126167611,0.35656189247888226,0.24277466441224277,0.08162377971218135,1000
4,l2,31.121554755076133,34.86335343124986,25.29929485878984,9.76718603237033,6.139994708858504,0.4871365075204567,1000
