,layer_idx,func,STC_L1norm rus _s0 mean,STC_L1norm rus _s0 stdv,S rus _s0 mean,S rus _s0 stdv,T rus _s0 mean,T rus _s0 stdv,C rus _s0 mean,C rus _s0 stdv,STC_L1norm rus _s1 mean,STC_L1norm rus _s1 stdv,S rus _s1 mean,S rus _s1 stdv,T rus _s1 mean,T rus _s1 stdv,C rus _s1 mean,C rus _s1 stdv,STC_L1norm rus _s2 mean,STC_L1norm rus _s2 stdv,S rus _s2 mean,S rus _s2 stdv,T rus _s2 mean,T rus _s2 stdv,C rus _s2 mean,C rus _s2 stdv,STC_L1norm sla mean,STC_L1norm sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,C sla mean,C sla stdv,STC_L1norm ine mean,STC_L1norm ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,C ine mean,C ine stdv,STC_L1norm mul mean,STC_L1norm mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,C mul mean,C mul stdv,STC_L1norm rus_allseeds mean,STC_L1norm rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.048826967957884285,0.029913464786089968,-0.26345288032401915,0.0210903963074344,-0.12603903239235587,0.02055385545326999,-0.30047113955587024,0.022900430314860814,0.06899688715828668,0.03802178245765214,-0.0166050027538621,0.03146118172980176,-0.176638126882559,0.017361192546590406,-0.1389093805272268,0.02921966388787589,0.010989876203337015,0.028830757651269957,0.011669741686430504,0.011726818648673594,-0.05056779531303525,0.022122154643339838,0.039200915069797754,0.017969928976834613,0.24487834005821824,0.031124912174685975,-0.17788056278990078,0.02151811494850281,-0.13461038018236654,0.02574535912197206,-0.2345573192932747,0.025811514960954483,-0.042904298518840984,0.033711202110924314,0.036179901442791755,0.03704149652048374,-0.06308282826606544,0.025456053694125236,0.03775733872666229,0.03750136756194253,0.17847346073835352,0.04431277757175476,-0.1715840591930542,0.04178672474334676,-0.23679612311735507,0.03293675966162799,-0.2775623881621964,0.04097180237199951,0.042937910439836,0.03977932087456602,-0.02326240167865713,0.11505882461611172,-0.11774831819598336,0.05614606474336416,-0.13339320167109975,0.142955524579902
1,2,cosine,0.03408802446429798,0.027055967882774454,-0.2791068026409508,0.026273791493967073,-0.012606373610391719,0.02013124581876207,-0.17882464847217278,0.017836865898476866,0.1365030157448548,0.04509348819556935,0.061379664897037244,0.025371143112053456,-0.16369296361566663,0.012769078585119994,-0.13872851567122274,0.03532446839927378,0.018260409768739123,0.03314532948083269,0.018392547777423645,0.016864671778347114,-0.02646288229160284,0.020390034682889666,0.027536523450842787,0.01713089965929511,0.1937729342678532,0.03097773324012482,-0.18087274743938844,0.025338807007689368,-0.07137270107278387,0.01569722426187917,-0.22202563456554344,0.03048259678325704,-0.058198790174050906,0.032165380073110574,0.055500461795028266,0.03816134074659379,-0.04167459620756067,0.033903403313232626,0.03386718520420278,0.03790564851072375,0.05808498278212253,0.043727525465237414,1.629615495058398e-05,0.03935574345113273,-0.1534070208329581,0.037642435225729735,-0.23194479266676943,0.043321105678907554,0.06295048332596397,0.06356607770041232,-0.0017471899980996638,0.13470041222157095,-0.06758740650588707,0.07152545127902073,-0.09667221356418422,0.09399020689525174
2,3,cosine,0.04007660774805329,0.027944463804395737,-0.25103254189917834,0.015454323477810833,0.045575877678756226,0.019180075813877217,0.14024755672988315,0.023559820119604658,0.10848207946799333,0.04587371818271083,0.036958100300167517,0.02725745056183697,-0.14556654359034926,0.022828399316149876,-0.08960814550078822,0.03271066400835771,0.023798609768209987,0.03212094640516292,0.018092093256692005,0.017859960375256105,-0.029436424726991824,0.022539713106029917,0.035127545724381246,0.02041366383700758,0.17554032755242927,0.02529371673462298,-0.18356227117328833,0.03717106848661808,0.02113786716507371,0.018800818830072168,-0.21870280113211726,0.03492082489187936,-0.073680396788615,0.028556793585710796,0.07180790237609395,0.03389860093571361,-0.05888467367895557,0.03398007394114811,0.03211321751274519,0.03849861776879506,0.03353226528417561,0.04232916976988754,0.046711380186274465,0.03759478795916629,-0.12122497522795235,0.036291333922140706,-0.23989270494031043,0.04118376079850226,0.05745243232808553,0.051070828395197346,-0.003937508559677034,0.11878941231024963,-0.04314236354619496,0.08264347305955352,0.02858898565115871,0.09881809197990458
3,4,cosine,0.06474725706502094,0.02837610802915944,-0.21798249313824986,0.012898071694000446,0.17833539808632315,0.020302793799921216,0.17789479078723813,0.023662871470978203,0.10697388227010092,0.04657542658150817,-0.008667061666564602,0.027854692001286867,-0.05303380280408081,0.03315328855259184,-0.09634629419434983,0.02827422032723256,0.028642743192595466,0.03094257610238749,0.005471265676740304,0.02037424264054553,-0.026591421193893534,0.01898083566579489,0.035861901947071215,0.017605517003727367,0.13606592011081003,0.022326624026430732,-0.18229605259032822,0.037330861508609,0.07157219589022182,0.023828530859668223,-0.26163768967479084,0.03863275645734749,-0.04742762049021574,0.02517716512534889,0.05329074635649278,0.03299685585285457,-0.009650896776979516,0.03634612894851352,-0.017722767605975374,0.038982237790167976,0.10487868694172642,0.04443277391586855,0.004476483601888296,0.042274692085600814,-0.03570388245678279,0.03839734563320516,-0.2436397416925165,0.04456108901459797,0.06678796084257245,0.047752434774671865,-0.0034690677667261424,0.10795917515205793,0.03290339136278293,0.10789483566388737,0.039136799513319845,0.11614877395161467
4,5,cosine,-0.0509833693767476,0.0344188099156578,-0.08016193115613675,0.02007802343578672,0.3955852429014997,0.02062217393113438,-0.23875538065252727,0.02038114361136381,0.08096872436546808,0.026172857236815495,-0.042866314365762846,0.03328336995842826,0.103409310335867,0.025662812079513955,-0.1817583344730505,0.012734333305200232,0.017128952658808504,0.024771412924294137,-0.0005331239026645948,0.02223587854824232,-0.061921057941376055,0.02567048869632315,0.05014702712312018,0.02269096831117381,0.07486185555654222,0.023463449447898403,-0.236526257522584,0.032255683146648575,0.22044373939188974,0.03626144459483783,-0.2607685180947625,0.03902645194587223,-0.03825988302824934,0.029931016683800663,0.023309159202947217,0.03834882221717107,-0.0010877070371983824,0.03698192585917226,-0.01925802022003535,0.04189101035406712,0.14316713108440976,0.043196570010855015,-0.12243048424991934,0.04134289756401071,0.05068720953033636,0.03955843115371689,-0.24410291166165332,0.04524645778008072,0.015704769215842993,0.06143032559089391,-0.012741176962839199,0.059344055675314894,0.1456911650986635,0.1937881759435068,-0.12345556266748582,0.12840441404202682
5,6,cosine,-0.18062400940575832,0.026759651906406594,0.34749118509031174,0.031058616677719347,-0.32002522531153677,0.03590242817103052,0.3999739845588055,0.03692538318840033,0.018069224500415457,0.025536444813812613,-0.03075418152405184,0.031173190962790517,-0.020698986370599436,0.03367997512611758,-0.09852790782292555,0.03432388816312878,-0.02224822707719471,0.030744331178343756,-0.06462993670873975,0.029623839470921235,-0.05890859442272382,0.02797169204628064,0.022347092227921295,0.04521872433542413,0.008272971931629642,0.02419973765249118,-0.13489682790205168,0.028431955882360815,0.005836589280307556,0.019006416443478294,-0.10934271024597905,0.02386896706777725,-0.02278450848552503,0.028850536419577934,0.02960705380492431,0.03750195303070927,0.01766300772947955,0.04286908765339211,-0.0286353516212385,0.046930783797468484,0.10971819304896305,0.03723660329998089,-0.22585786654206838,0.02694758835675941,-0.1511289588601502,0.01943148337687191,-0.2446503512362308,0.02556447494651871,-0.061601003994179185,0.09124526397119115,0.011217342479163775,0.16630539345582157,-0.13321093536828668,0.13891764123015235,0.10793105632126708,0.21922017144357137
6,1,l2,-0.1808180831449638,0.039916909738818326,-0.35321821501343986,0.03164370533739015,0.2821474869749343,0.02783983675380912,-0.383777350286858,0.026427231666326767,0.11503437531213875,0.03438680624503758,-0.189339560268924,0.03176299993185365,0.13357448000780608,0.02912440158444115,-0.17653139440609716,0.04540380937925503,-0.011781531375301366,0.029318433507834304,0.030122678214136923,0.023558896104024448,0.012927065597554702,0.022778765277465463,0.0006933968421153349,0.025301277425552222,0.215184221599008,0.03555961275291423,-0.18972563064864945,0.030944947992400662,0.14499430776739922,0.026099001151246286,-0.2156604140729151,0.026419997973412216,-0.029225127801529572,0.03300695260236401,0.034293136376315404,0.024847167644975486,0.049537571291964066,0.025381380401985638,0.059644486631102514,0.016182695668926893,0.15473820466327842,0.04154560692560353,-0.2704782207789715,0.04019310477044407,0.2670361630857864,0.027046578978857046,-0.042567359401439506,0.04249696997751628,-0.025855079736042143,0.1277568813666108,-0.09833338937939225,0.16216264354677634,0.1428830108600984,0.11491786309086575,-0.18653844928361332,0.16307301371608035
7,2,l2,-0.17725819907733759,0.032316156778710935,-0.3437959133902403,0.0317312035706832,0.31882115378740084,0.022432360736031217,-0.010405011009386327,0.03260679838853706,0.07843919446054229,0.03922644551484834,-0.20154553475289774,0.024547623228528527,0.07035771112824762,0.030110082824784185,-0.010183510780871896,0.027864658926278207,0.020457721503573105,0.028193623444201305,0.013862937880602591,0.029091528158030636,-0.009602007005173625,0.011800949162234568,-0.011749139385502259,0.011488248893036297,-0.01227972978932547,0.026671271240472545,-0.12900750996178384,0.03246263152313509,0.26092161466446234,0.03191849580726186,0.21155962377816068,0.03247579928752238,-0.02255139570770274,0.023061753368591103,-0.05201260489159774,0.034383987442593265,-0.032384666754745786,0.04041845047562339,0.006006538089480213,0.039858237980998294,0.008744062865260046,0.03477159299645676,-0.0024096137630769906,0.03179337262023921,0.18877089138579362,0.030530932192556693,0.15023918296132,0.031214592090516153,-0.026120427704407378,0.11594439821433457,-0.1016399655626263,0.154188055602332,0.12652561930349157,0.14390767922166384,-0.010779220391920162,0.024746269577648326
8,3,l2,-0.050250246185437296,0.028735834562331593,-0.3529066088880226,0.02953466146660042,-0.044470232777557475,0.024095790698345426,-0.15287505974263355,0.028211645011853227,0.08665321444562951,0.026036235534579164,-0.07234949427072455,0.02468869278245079,0.10976474591923277,0.030362696310034284,0.11400529360172025,0.034271415208819496,-0.009997807230417747,0.02219736144224673,0.06272898268821415,0.039057357463336766,0.04930138990088824,0.02737325208957921,0.03655190323237732,0.025043917326052996,-0.03214976074190714,0.03633106810741479,-0.08705642545918625,0.03131348779943331,0.18634905108714747,0.027430907425869917,0.17097752637124614,0.030326556755844995,-0.038659121888007256,0.029430332672274635,-0.06801351232632423,0.03436646301744367,-0.046938789527782826,0.03967506399747432,-0.017167584350325338,0.039693650195138194,-0.00027453984736724237,0.029888660525650403,-0.018890866252607906,0.03414912970605428,0.1482254768065247,0.03567505474627573,0.15055032530848092,0.03554192284346027,0.008801720343258157,0.06351251048441177,-0.05602032657345977,0.1481638497591867,0.038198634347521195,0.06974272164723455,-0.0007726209695119997,0.11750290357337115
9,4,l2,-0.07563790933215728,0.02945407755389612,-0.34922102638002206,0.029028116522954183,-0.0587825728569778,0.025082243714207707,-0.03394011938025014,0.02837039751476814,0.05225414037149221,0.02122388908289554,-0.04341752649638599,0.02992668249638202,0.09454777972232938,0.03585834244676762,0.13087998697204598,0.03799816521810586,-0.01567961098932569,0.021804783622611228,0.09377034827416555,0.038225238353765144,0.07341591477037226,0.028127718277529877,0.055674773331563565,0.025190440776781082,0.07682740264644121,0.030245085347350344,-0.15652751764088635,0.029062545332329687,0.009719657986457037,0.023604244366316484,0.010421401169126427,0.022815418649011855,-0.0190297475839637,0.033413923585776474,-0.040815354955287673,0.03769334344088019,-0.03275498567933471,0.04066617722106827,0.008272360561235526,0.04128295867590062,-0.005732168443489822,0.02968521902475443,0.04384108864925625,0.03385400215704586,0.1414678417032195,0.035401841869623564,0.15049491525614683,0.034918627500477147,-0.013021126649996917,0.05814040604652418,-0.05632193075870553,0.14659487054477557,0.036393707211907954,0.07484826415705893,0.05087154697445315,0.07476955099781435
