,layer_idx,func,ISTFC_L1norm rus _s0 mean,ISTFC_L1norm rus _s0 stdv,I rus _s0 mean,I rus _s0 stdv,S rus _s0 mean,S rus _s0 stdv,T rus _s0 mean,T rus _s0 stdv,F rus _s0 mean,F rus _s0 stdv,C rus _s0 mean,C rus _s0 stdv,ISTFC_L1norm rus _s1 mean,ISTFC_L1norm rus _s1 stdv,I rus _s1 mean,I rus _s1 stdv,S rus _s1 mean,S rus _s1 stdv,T rus _s1 mean,T rus _s1 stdv,F rus _s1 mean,F rus _s1 stdv,C rus _s1 mean,C rus _s1 stdv,ISTFC_L1norm rus _s2 mean,ISTFC_L1norm rus _s2 stdv,I rus _s2 mean,I rus _s2 stdv,S rus _s2 mean,S rus _s2 stdv,T rus _s2 mean,T rus _s2 stdv,F rus _s2 mean,F rus _s2 stdv,C rus _s2 mean,C rus _s2 stdv,ISTFC_L1norm sla mean,ISTFC_L1norm sla stdv,I sla mean,I sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,F sla mean,F sla stdv,C sla mean,C sla stdv,ISTFC_L1norm ine mean,ISTFC_L1norm ine stdv,I ine mean,I ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,F ine mean,F ine stdv,C ine mean,C ine stdv,ISTFC_L1norm mul mean,ISTFC_L1norm mul stdv,I mul mean,I mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,F mul mean,F mul stdv,C mul mean,C mul stdv,ISTFC_L1norm rus_allseeds mean,ISTFC_L1norm rus_allseeds stdv,I rus_allseeds mean,I rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,F rus_allseeds mean,F rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.012759833711962085,0.027306218286766364,-0.33096817531300965,0.030761557928729383,0.03909132305882927,0.023963984034872567,-0.33901855364967404,0.028754679819997107,0.18160219329482957,0.02707248304638486,0.4325976140402822,0.017965793952477837,0.1053536428891122,0.026235084006898935,-0.08657589997231818,0.04376283725961816,0.15377497847144297,0.03591508674259081,-0.2464357351808643,0.035739394147253765,-0.07792635466052086,0.03641335165138544,0.19921909654185693,0.03765928236698624,0.01869093496238238,0.01771381588678442,0.04771046836966648,0.0327028964733957,0.02895702151406627,0.031824348697616155,0.022395761907487866,0.03733278474792887,-0.06461799939797427,0.030988015738317984,0.03148315150483727,0.028379249949571504,0.19531659262062023,0.031342835345837254,-0.21571689736343114,0.0417661193869927,0.11566725139536023,0.01787166273789358,-0.23676984009750193,0.033296870938358196,0.1623308486775396,0.03810205209535563,0.22887259800093102,0.02211152191742977,-0.062094872552439506,0.03182217962462787,0.05615489637926498,0.03146472271010416,0.0370831219274392,0.03260263896816886,0.021915231661148244,0.035054560878534785,-0.09438393172654985,0.02794294574277811,-0.003728622092151069,0.03917513116579163,0.06083359196564845,0.02385374610512174,-0.2136210908123438,0.02586673577675435,0.23315422895778148,0.02583237431454104,-0.13368449378215747,0.027285854794944824,-0.032180249735767295,0.02031342855319358,0.24645986565064043,0.02061426173992238,0.04560147052115224,0.048940469650865015,-0.03883819922536745,0.14670591650102635,0.07394110768144617,0.06486267207376639,-0.18768617564101683,0.1593472734522737,0.013019279745444806,0.12517030060276405,0.22109995402899207,0.1696408983398547
1,2,cosine,-0.044600125288679716,0.021657212672375546,-0.2915044595943456,0.028351158692847777,0.09695483040065403,0.01872514774023024,-0.4224862147373341,0.029421391832446506,0.019841116065785126,0.021732624735352923,0.4181360688014698,0.01752787836969379,0.13356801943624413,0.023115401007557067,0.006312069378307529,0.043591041485520926,0.2260412664471149,0.033502960552351156,-0.24081490354121363,0.024765034279367874,-0.21434514428152912,0.02917821443248925,0.20998391116295817,0.031115718750571564,0.02180467609015036,0.018477622237110504,0.07194896615308415,0.03339428612616904,0.05485207374703952,0.032469621409175344,0.008149545703048346,0.03213692818152814,-0.08629638758965756,0.03472002072136308,-0.013879552381911756,0.03260009734746295,0.17477052921651365,0.03132960939273912,-0.1687340609167478,0.0412978554856792,0.12379950298745435,0.023169520264615454,-0.23066417885334634,0.04182220184300556,0.01671670578339743,0.0325028054312511,0.21819187844352794,0.029462392430539754,-0.06775706279463972,0.03553824655210161,0.07400568424040796,0.031071817120775676,-0.026185685661888787,0.034173368233257694,0.05483410588586649,0.028201678271929407,-0.07362261138047119,0.020691323277687825,-0.027484418351749574,0.027696573357364616,0.04407818532223392,0.02229798011716313,-0.07176800217392192,0.0258255707617136,0.16726889680721493,0.022275778315334897,-0.24383380091188012,0.02935869791843301,-0.11249183868400647,0.019870267726129206,0.3044458970346988,0.025432869618824783,0.036924190079238264,0.07751561507978552,-0.017078475637539867,0.13863368568330797,0.12594939019826948,0.07919534305741532,-0.21838385752516648,0.1816958840925848,-0.09360013860180053,0.10133226151494143,0.20474680919417207,0.1814351333380925
2,3,cosine,-0.10818313218614213,0.02586906701595641,-0.3047258758680582,0.025913986176051094,0.2233320598740376,0.02171731648928772,-0.40580290310254863,0.02916153762395741,-0.11274776191937982,0.019732263390465733,0.4432204645999948,0.023644563193745857,0.10226942124126655,0.023194302882063957,0.049825787737596626,0.03386373126542614,0.19371100362592436,0.03379601363305405,-0.17361729293279266,0.028877093125601556,-0.18044651546002183,0.03234851938000659,0.19465955177917282,0.03507078493300124,0.012177396732302503,0.02329440599363719,0.10103814151310313,0.032472961747017,0.05536886561867251,0.033625667138774816,0.03368540270981674,0.034269205141023856,-0.10389734667620254,0.03571624785577904,-0.03285958353098807,0.03004062374805268,0.1810405324452104,0.03832434794490242,-0.1701703836491641,0.04002844598802983,0.02542308327413752,0.03636161942835175,-0.27137072332795215,0.04274420073668138,-0.006056041762472884,0.03457692108001575,0.2212629228309849,0.04242999607667118,-0.07094046470740256,0.03517559523033844,0.02838813990416733,0.035544118726833045,-0.08400640426455311,0.030105124650408186,0.06647340774943944,0.02908497013721119,0.0013540316657570308,0.024027083840358985,-0.04007612329150413,0.036791379357285485,0.08690675364108735,0.022054852694641833,-0.037659476843090595,0.02449146697153513,0.28394680276894285,0.025817560234187575,-0.24884074976857598,0.026598540268475284,-0.18645752592238035,0.020044990217893528,0.3099678613849025,0.03548895739228543,0.0020878952624756356,0.09073011890230058,-0.024599710138321917,0.1475158987421777,0.15747064303954483,0.07996962999517099,-0.1819115977751748,0.1849985767854084,-0.1323638746852014,0.04528595274987486,0.20167347761605986,0.1998466798593347
3,4,cosine,-0.14974404571411332,0.028361086184549474,-0.2913727644072395,0.028330966773982075,0.06429950016109125,0.024707825120571375,-0.4004629619045394,0.028662041283162663,-0.39407519047776873,0.02049313127923736,0.4371452034132986,0.024040107805037774,0.10980964500740979,0.018584994166501136,0.046372533268923086,0.02155764218062927,0.16799670391202895,0.019839155818663363,-0.2242499515198621,0.03555932238560693,-0.21542819329013083,0.033956186521114914,0.19020023536879854,0.02290223188117712,0.022098401333361765,0.01766566055141953,0.12899165658211814,0.03308540479704576,0.04858289177110174,0.03109886763854411,0.0013591175940129846,0.03101439149261795,-0.10108626422247864,0.03725369807342054,0.02697699188801623,0.018371527594388162,0.2159513726504964,0.041290603847711944,-0.21081152941732575,0.04305852636761146,0.10665227171795785,0.02624178202786363,-0.22425826956934514,0.04686367814486872,-0.2885824272623147,0.027651505665649716,0.2227341171796584,0.04351242282231224,-0.07989265192890325,0.029154723819820236,0.015609614297106009,0.03133901521148384,-0.11926119869854859,0.027953382593468624,0.06685394856112906,0.026187373868586546,0.07416470773200969,0.015273921147529247,-0.06446541087987306,0.0347774641159073,0.11257036404234413,0.02202645905847775,-0.2306967008804537,0.028813533290207353,0.19182960657158052,0.029970343291519052,-0.30388361759288646,0.030667687613419002,-0.21638076222282338,0.024058618892659617,0.2548669805665248,0.029137683829854565,-0.0059453331244472465,0.11169444410827038,-0.02230742898825666,0.15355276191968714,0.0936263652814073,0.05928893092149258,-0.20778459861012955,0.17007121936651887,-0.2368632159967927,0.12632087208336298,0.2181074768900378,0.17278964578056608
4,5,cosine,-0.17043851346156852,0.03455800936551775,-0.41455469095687664,0.030198284207696997,0.38005410175664495,0.02484317368963644,-0.42069409540046127,0.02581192063067702,-0.34265679500027796,0.018392240036044328,0.42060119268259333,0.023419853867037627,0.08864423723129135,0.02392030447909141,0.16166637593474106,0.025752304719095388,0.14884097187764578,0.021355592881870916,-0.21318138653713176,0.03811590999923477,-0.22779716763388153,0.022390760852735968,0.17154927480246177,0.02265883446606289,0.038239784304949356,0.021828486927382207,0.1475451734702671,0.039140915823065704,0.10567830056674184,0.04416082020679718,0.00045121912546648333,0.025905633712778046,-0.09586499531452672,0.0381753116454384,0.038808525387147665,0.020988682278527508,0.2129840741439534,0.04279404361400033,-0.3351091995058032,0.03296354458065096,-0.11610166788832803,0.02332840073197936,-0.17147418203245218,0.0483936820942302,-0.20938371518583368,0.03060431152085559,0.20704213940131266,0.04904620160453336,-0.042976074285036615,0.025833265168530215,-0.04483833295410379,0.027383648718279814,-0.05964015129595833,0.02150632634096264,0.042574221183671504,0.02716498424148041,0.11127755902237921,0.01836251314852721,-0.03246204366578561,0.026527938497956243,0.1740045358286927,0.026662520618373764,-0.26859967670838597,0.029634889872152487,0.08330006896197814,0.024045162720964672,-0.27806383354815134,0.036388428997855105,-0.2432112703834366,0.02494490938864199,0.2531008215623856,0.027165622407779155,-0.01451816397510926,0.11708479884647705,-0.02481627224619937,0.20962052699278147,0.21152445806701087,0.12629460591514777,-0.21114142093737553,0.17733573447466605,-0.2221063193162287,0.10597487080765661,0.21031966429073423,0.16240618348424873
5,6,cosine,-0.21047942805439113,0.03701060897977708,0.2707146769264815,0.0399370506788401,0.16491907005009981,0.031371047378864855,-0.41993086891542825,0.015276897478235758,-0.41753541364411906,0.016310757565241075,-0.33955349907724985,0.02349120059290726,0.12250083526010629,0.03486311318091168,0.06723368778097027,0.025240243609036303,-0.13104702791110295,0.03757922180432952,-0.06215148302431219,0.021666123961972646,-0.07913517364635946,0.030844787934622316,-0.09390048605873896,0.03816567931525455,0.007066899152930063,0.015709023866433938,0.10001235221232559,0.03971308982240785,0.015058650123432743,0.02374793785988834,0.03209720357986713,0.04177648315193458,0.04180770840743958,0.03472851137663311,-0.024146721484330266,0.03794478968786604,0.11437275908453026,0.038963246090552926,-0.15361519390727946,0.032781001818642866,-0.020530102053132937,0.030356514674845483,-0.18528989176559224,0.04176490032761127,-0.18445658020058048,0.04076184482977141,-0.010048281680736413,0.03608253901767679,-0.0406458178676707,0.022720483535815347,0.09317173495738112,0.01963111435931871,0.02083800892420077,0.027944781411664867,-0.006161035566036912,0.02493777471338161,-0.00335096770597448,0.03207296247515534,-0.0878014954711006,0.025647817906731134,0.18222848044451323,0.03326287387470669,-0.059772925412688714,0.0238984634780488,-0.14088445622755572,0.02660575826031798,-0.2840798011633316,0.0373560127873873,-0.34781923757404654,0.018887186120474724,0.1313682325297272,0.035168578528419564,-0.02697056454711825,0.14350843664121204,0.059508170546403776,0.14951728728070962,0.016310230754143184,0.12657911499328253,-0.1499950494532911,0.19995059611204105,-0.15162095962767969,0.1996207574841647,-0.1525335688734397,0.14142246768157132
6,1,l2,-0.18269638424026607,0.03367297481315712,-0.41233103878203636,0.02947742079434469,-0.40537869890103273,0.03118907987648102,-0.40833449448884906,0.030240019445104772,-0.40327776936726584,0.03065774548731517,-0.40641695578815556,0.03019448915851124,0.1037913684179916,0.015728694010422792,-0.19901264625828632,0.029857330092287554,-0.2063445943135335,0.030060272735956323,-0.199910017659304,0.029023625173330014,-0.15711483497676892,0.03734023906663214,-0.19939366722213792,0.030140053013734344,0.042605574797403636,0.012774254001760939,-0.004582961139164375,0.0268327050778505,0.012650555642904588,0.028442288057348025,0.01288990217548874,0.025160403441281922,0.03454767690577814,0.02875772882393301,0.017979254893236464,0.02649866229993861,0.23058881652382812,0.030507389368008474,-0.2399222338194435,0.0439710870428534,-0.24903805245812846,0.04614684376823608,-0.249978832728076,0.045149504214297365,-0.19482154806103322,0.0422467388790039,-0.23809867375302307,0.04408918537661581,-0.03409194765710633,0.03170098931889353,0.025679663745026803,0.030011902411613826,0.027449394988489,0.028564915979088317,0.026287950329738973,0.02993917114037763,0.05185788735268031,0.02858919822529952,0.03680839928322084,0.02778157810982638,0.2054955537202897,0.030266584238449856,-0.30920171182501016,0.03228932092909986,-0.31257396814149263,0.03313680800799454,-0.30695645202812266,0.03166871077761197,-0.2843763976185742,0.028965637333854547,-0.31364502264821864,0.03192301342308419,-0.012099813674956938,0.1271933551933157,-0.10870434786739303,0.1786637294985589,-0.1996909125238872,0.1760264912025261,-0.19845153665755483,0.17701458625743116,-0.17528164247941885,0.18493772301775718,-0.1959437893723523,0.1784453963363431
7,2,l2,-0.18326146490034007,0.032928469595582745,-0.40795264566186357,0.02810109667957534,-0.4090445869789619,0.02937577084208318,-0.4059610518653029,0.0290309768071285,-0.39739441366313355,0.028771153538912263,-0.40643694182994305,0.028911372632620693,0.10784343961550355,0.014495334219691555,-0.19429219579288767,0.02904404421178791,-0.2111105387067007,0.030733258604624343,-0.18228956320349762,0.029399996219814664,-0.13905406615760774,0.038291722347716745,-0.1962983195154589,0.02930439815165876,0.0404198436884841,0.013508045540425203,0.0019830138925366046,0.025678744616208237,-0.004988117409630099,0.028008483961962805,0.01814562559195252,0.024071911540295685,0.041252239536106315,0.030397679856137325,0.01902849747821484,0.026743727626418037,0.22954468142556386,0.03663269448588437,-0.23183576092203156,0.04306985146346212,-0.2400831301404168,0.04559782539944544,-0.22376895167953537,0.0435298458596806,-0.16853652765957888,0.04315919363794669,-0.2291338012678361,0.04342241999733686,-0.05694748227561246,0.03274792380224454,0.047373170580942404,0.03139619735067735,0.06837013976896052,0.032051644822575734,0.04021434112856777,0.03524237292143812,0.06724702355061381,0.025324171349551457,0.05181482929482921,0.030728475143484625,0.2184090027916979,0.025803866194442412,-0.2986753730127375,0.026554909787141534,-0.30683918784983744,0.02812007280285714,-0.2922119659285552,0.02840653785657197,-0.13030555681259035,0.02747576342169285,-0.3104498737660894,0.02858131046740981,-0.011666060532117462,0.128344397068629,-0.10587666819309448,0.1781071931568834,-0.20838108103176423,0.17016699713759947,-0.19003499649228264,0.1781912740449752,-0.16506541342821165,0.18580354591560008,-0.19456892128906236,0.1787733724459068
8,3,l2,-0.17857357164797394,0.028442177999132446,-0.4126300077037298,0.028705537461779247,-0.4179516667345121,0.027955151439808097,-0.41262479670657737,0.02890558312976206,-0.391480285752928,0.029611005039219093,-0.41694451333580107,0.028279007580694137,0.10125488610757157,0.01787103374616498,-0.21425225627464153,0.028313290788211192,-0.21643374592862927,0.027441146237014526,-0.19167728974715353,0.029574966486768512,-0.13782715794909794,0.027439178718828474,-0.21546422668414986,0.03102949353811212,0.03610940428589057,0.014564316608557943,0.011095332849634801,0.026060673291993415,-0.00303355903908135,0.026204469829682643,0.014544623860057906,0.02531052170482139,0.050266804916798094,0.03101491683952988,0.01854763162906701,0.027006242007032038,0.22090835112901086,0.03806879628828063,-0.2198496461248493,0.04295221956922451,-0.23532334981617153,0.0448560462430754,-0.2148298024864912,0.04358301947535727,-0.15629298729670657,0.043664541531170775,-0.22087479846777658,0.042673902980188756,-0.0658623080925049,0.030845684908116996,0.049330600356157314,0.032512077336733246,0.12138690535485266,0.03242824319125065,-0.02754412413080154,0.03467424621151335,0.02250445938104851,0.03008594426851118,0.03234673962735862,0.0346506517589108,0.2067083418536894,0.025918147339959743,-0.27531700568813905,0.026724293121623915,-0.29958118298300673,0.026488255620761084,-0.2687738580787118,0.03051068385250435,-0.006281522136479409,0.024968906643299555,-0.2900167222016561,0.02805988925409433,-0.013736427084837268,0.12329569004376935,-0.1094993687305414,0.17996029868185665,-0.2124729905674076,0.17429771650176545,-0.19658582086455764,0.17945198949635044,-0.15968021292840928,0.18626923484917374,-0.20462036946362797,0.18312024500958113
9,4,l2,-0.16679563598924366,0.025383313336386156,-0.40911078687724756,0.027365812772832333,-0.4134018300411394,0.028712131850257498,-0.4099426525186859,0.02698187552488391,-0.33666945925416153,0.029182454150712196,-0.42099814346829645,0.02602509499565878,0.14189053842985028,0.018283640324301288,-0.2252747148718973,0.03033623004050097,-0.22955673777628965,0.027779263707524066,-0.21258764216309106,0.028743182409129313,0.08142799740038803,0.03973599006129358,-0.23571274711322276,0.027102948053149854,0.03005144412827429,0.015234439040361935,0.018318866319525808,0.028235591690433434,0.010259650249833828,0.027744208369749907,0.02420279167353605,0.028850064828133973,0.062009892477656314,0.03053078558052481,0.008592335475611031,0.02533867539925925,0.21150521432800198,0.03871269298457764,-0.21024443879622395,0.045129973853034265,-0.21554217594941286,0.04785617047597271,-0.20627041731247392,0.04532490262359233,-0.13667156118107168,0.041171646863988845,-0.2113890921157918,0.044127270807778916,-0.07080990069150372,0.03713678923451283,0.04956660071230594,0.03710756096368915,0.08770616121574551,0.033904746031583055,0.004030727363737296,0.04085804474536056,0.024808267353118425,0.03566609847152574,0.04321494056328927,0.037274532925716954,0.18581175775190487,0.02984481497243929,-0.2630488052168623,0.028527044763701916,-0.312159135448167,0.02644525972454167,-0.13272506770375198,0.029081930588663107,0.011086258356536788,0.024709609927718874,-0.2435913129114491,0.02755142480591831,0.0017154488562936322,0.13122446298681043,-0.10182004814345637,0.18794976925588516,-0.21089963918919838,0.17849552252447404,-0.199442501002747,0.1825567384685611,-0.06441052312537239,0.19861793848603376,-0.21603951836863605,0.1807103561177652
