,layer_idx,func,STC_L1norm s0 mean,STC_L1norm s0 stdv,S s0 mean,S s0 stdv,T s0 mean,T s0 stdv,C s0 mean,C s0 stdv,STC_L1norm s1 mean,STC_L1norm s1 stdv,S s1 mean,S s1 stdv,T s1 mean,T s1 stdv,C s1 mean,C s1 stdv,STC_L1norm s2 mean,STC_L1norm s2 stdv,S s2 mean,S s2 stdv,T s2 mean,T s2 stdv,C s2 mean,C s2 stdv,STC_L1norm sla mean,STC_L1norm sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,C sla mean,C sla stdv,STC_L1norm ine mean,STC_L1norm ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,C ine mean,C ine stdv,STC_L1norm mul mean,STC_L1norm mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,C mul mean,C mul stdv,STC_L1norm rus_allseeds mean,STC_L1norm rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.25018751674835604,0.019910152019181757,0.05961848515251207,0.01913673318957703,-0.04776558842442324,0.044799682317499284,0.5670636838841172,0.021895552304078462,0.3746654648275326,0.04865353850352095,-0.023442546973922344,0.03583220597978556,0.4398113931075159,0.05004843080649587,0.3579354015529407,0.036427637667546954,0.2587950765566146,0.026155685420993176,0.2249093189593546,0.020435272239249264,0.01788534984325109,0.03040863712983787,0.46071221509889615,0.026655971926316004,0.5282962745437366,0.01932429843014566,0.1000537360660588,0.03595275899615558,0.2556320661861193,0.029223799056739497,0.7914471623139829,0.016058344184401763,0.4167147517641058,0.02337103789337676,0.20453167223392588,0.027766608796455365,0.39564876144508165,0.02418729142663383,0.2674049222785171,0.02971476392665891,0.6308493937137217,0.008784695444301435,0.624227281052933,0.013612010485119466,0.25819611029341916,0.021846625910045707,0.7037122076051353,0.009972003051074839,0.29454935271083443,0.0663529302731928,0.19078888587840787,0.1372814360717897,0.1366437181754479,0.22354037627263226,0.4619037668453181,0.09122666897048914
1,2,cosine,0.26341023814239506,0.0179028870577308,0.08827569845420431,0.02066987245298802,0.07334085365934213,0.03647243382901464,0.48331101904983215,0.02168214193718101,0.3862183687589672,0.04840493556325747,0.006017356267039101,0.035981776403577984,0.5251599456959161,0.046412265539361314,0.30732880685471825,0.03660756164340448,0.30692436956237373,0.024836836228310767,0.27429594421872694,0.02748594812942057,0.15420198931694007,0.021064003151718597,0.4367457134355184,0.024328594127736587,0.69184812604386,0.012954037241998069,0.5692199807667307,0.020774547409164217,0.4820097372288461,0.028879164021418186,0.7660941751062562,0.01817334884055311,0.5831198233753814,0.015180537805066664,0.2339392099185876,0.025719220744141583,0.63733158673641,0.016484744382172446,0.41322793422608706,0.0292520478563985,0.4440471843917792,0.013303876980011996,0.4595134955525858,0.014396690689957286,0.26550533021902284,0.01838121194582807,0.4861676137165477,0.013670885193608975,0.3188509921545787,0.06076144021584028,0.2208569959006178,0.13550557757444587,0.2509009295573994,0.2031064776598499,0.40912851311335635,0.08049594665661072
2,3,cosine,0.40588162109436715,0.018656703801835227,0.07408313733163602,0.02651951208892298,0.22555217532265326,0.03318484644242498,0.4761821500160798,0.015663770750833143,0.37046772950064144,0.03874654733224499,0.05157169665348142,0.042289441362956544,0.30795437891875715,0.035686763165194285,0.4234131673277971,0.037981160068743886,0.31656312691711863,0.02276797630569416,0.292906295147237,0.021377795054491795,0.19517718205835105,0.023266575436484103,0.36971371988090584,0.02796744976854636,0.7351179100524015,0.014407612706047982,0.700512800891971,0.027366824394309108,0.5881426873074356,0.028091074260750564,0.746318523471148,0.01727467608280966,0.44217081609443315,0.019028235425505143,0.2476367906707769,0.021815805878010013,0.40897084062328115,0.01551042425093438,0.35560660624405244,0.031652297704809325,0.4417972251021112,0.018190565560044773,0.4112348559621998,0.02215946170287868,0.3213045281093981,0.022962519940213137,0.4591924808778221,0.016396026696459225,0.3643041591707092,0.04615137964329992,0.2519122677740803,0.14271373682005375,0.24289457876658713,0.05703896995039349,0.423103012408261,0.052163529453414174
3,4,cosine,0.4625710221142592,0.019299266161595642,0.04655207791358931,0.022432325978852793,0.3923573142618344,0.024330869044494607,0.5012464182949758,0.01119468208253076,0.5590994832550275,0.025310956334673642,0.06533496917094969,0.045693165392533396,0.5660901574583336,0.028301765130695784,0.4365194855492244,0.02877061835620726,0.3973694372574214,0.020299455188458687,0.32796987617944334,0.019713518138032616,0.3269100746965906,0.021242914976006354,0.4589761003772731,0.023691876381296557,0.6589694197985944,0.019110338179144738,0.54946412713812,0.027094204099287388,0.6503897423319231,0.023130081595261715,0.3855767801651706,0.03326788633615465,0.4179064260418285,0.02148065775926369,0.28151201507856893,0.019897577057582824,0.27132997899651995,0.02418214810272175,0.4748710567533747,0.030918378269403232,0.4930368041854926,0.014153814691491762,0.4247034413051775,0.017754182291647807,0.36812990649106797,0.01977559812541421,0.5726676027087455,0.014716175453895879,0.47301331420890275,0.07077044664895563,0.309816144315115,0.19593961835234336,0.4284525154722529,0.10540180853282867,0.46558066807382453,0.03485514525723569
4,5,cosine,0.6382036332753683,0.012071188694762631,0.04477530124515432,0.019749694555613637,0.6208783244233779,0.01633435846189923,0.6289671288365428,0.012070074837550048,0.60264805107113,0.021357955950164466,-0.009387447614713445,0.03168066043263176,0.5500616997329348,0.029903163496785765,0.6329585968399991,0.026560229381108153,0.2780660911361976,0.018326069968991606,0.18655140435883658,0.021980853391090807,0.19176463097881266,0.017064324127595024,0.33397531277941683,0.022393425052965925,0.5628481252891033,0.026569077665692973,0.4308406192998209,0.02107109778164941,0.7550903334452334,0.015158506132147781,0.08448865111543437,0.038810707268764254,0.43246148149577984,0.02987477496816862,0.21454608359178207,0.029492049273361628,0.2559463025909571,0.026445874213856902,0.5311769639646367,0.03357814399229965,0.4406175046784049,0.01739099197708503,0.3767390532393233,0.02480636618578514,0.33157526839245033,0.020330695806158938,0.501631421306654,0.015984615182194815,0.5063059251608986,0.1656920503720367,0.2901428389119955,0.25449838080823334,0.4542348850450418,0.19221972881353133,0.531967012818653,0.14387060040227134
5,6,cosine,0.40543937156638127,0.02184152355482457,0.3393844707255576,0.02148897192890641,0.2203763991403799,0.0312996069072954,0.2851296780468954,0.028309247734464093,0.2854902045536344,0.031260213551961555,0.13121169240023906,0.02715032270201551,0.19479118124527023,0.03913761724081518,0.25047408509722136,0.03798011199734213,0.3692452411422732,0.014682206644942634,0.04505999685254149,0.019801062807779747,0.3510939746659039,0.023642568512731364,0.23813744867605785,0.023271981198882883,0.36997253147652653,0.02889358851313623,0.2702339246404047,0.02976903792024766,0.3978800638941521,0.03043555521998162,0.06356984278457471,0.027266671334572758,0.6001661681094743,0.026748103950000993,0.29572468399757834,0.01946150931709609,0.6169163387469958,0.02293876483920738,0.39308343345040986,0.03856575448448479,0.4767018534311602,0.028296237441187904,0.3457322480697294,0.02016602066305409,0.3306291581050992,0.025857338890296754,0.39127990209235286,0.03857733510798391,0.35339160575409634,0.05593637466549894,0.26263849620677127,0.1338588795713804,0.25542051835051793,0.07615946886114791,0.25791373727339156,0.03569070302281987
6,1,l2,0.42281613991731487,0.02876700453769635,0.7102213525276434,0.02239980930914768,0.10901953003281359,0.03505963280728455,0.01662693833769936,0.03029444580410719,0.6397502473457527,0.026115540651953983,0.7106352010992565,0.025301144793359126,0.3916837965767833,0.027057546053244206,0.29089172495272064,0.023949442771291088,0.24652437659244208,0.014073210319121378,0.5511846099256549,0.017990637155555475,0.008308034731708417,0.03546591275292431,-0.12574916100002448,0.027099500359548393,0.6129629863626342,0.013057174529115546,0.8331686803689842,0.01598214000992877,0.17836090392835516,0.020289632936891875,0.3034387312717005,0.027625032529171187,0.6282910833501567,0.021632338903322033,0.4474823602323287,0.03268487232595229,0.49705064956635214,0.025954761578292317,0.2416968265726102,0.02247382467696546,0.3722918590561124,0.030395579875915228,0.42124477252946646,0.022796264243804105,0.3193289383877181,0.03684830937695753,0.16681045406718206,0.026517172115351914,0.4363635879518366,0.16518062033912587,0.5468553212346772,0.17004524611411376,0.16967045378043505,0.16805530377585812,0.06058983409679851,0.17781922163162747
7,2,l2,0.41559293470661335,0.03341589071305159,0.4560441326358622,0.033533976139958316,0.25619781426801114,0.03569997891767013,0.1961386577180028,0.033562158585538376,0.414517546819068,0.032573276022238,0.634425864381292,0.016953047683902496,0.1080896639422447,0.02844600230078388,0.11162929770926835,0.02585575416184517,0.3867723004387664,0.024480252818631996,0.11346943399961336,0.02962452629796648,0.354919937909645,0.02680762898704504,0.36837394509317456,0.027669499360009103,0.2813691302262701,0.021508266473100866,0.45445759370985234,0.02559217723133369,0.06753905384082126,0.02402091399003208,0.023583925761847542,0.023515885284557666,0.6076809571951604,0.02417306092118979,0.3121813617166681,0.035660816164701355,0.7149754500773735,0.01741636358388972,0.32192635935098585,0.022605220837704304,0.06077691337242034,0.03386649380637607,0.01734984991542849,0.0285368318397638,0.0900872005549024,0.040054204113508636,0.016105819308930867,0.036269078146751614,0.4056275939881492,0.032340280897490595,0.40347036883020265,0.15693711787477047,0.23973580537330025,0.10730422420077583,0.22538063350681525,0.11225898695077646
8,3,l2,0.23148502717779768,0.036796952641326805,0.46361866902391097,0.0299116943967314,-0.03386061780913378,0.024953781439282008,0.014123349518562645,0.03566614711260213,0.25816693612170616,0.028745980757880173,0.19280531821051197,0.039859295689058244,0.08009371138046872,0.020663167053743818,0.2345571546346469,0.0314522884118295,0.1294548072102106,0.030586164363844152,0.03086536640286559,0.030123933651226672,0.05879341131726016,0.03482107392398722,0.12506797192877778,0.03932715138520103,0.19029282656050275,0.014447202441845651,0.25468418100779494,0.02655044251950492,0.056731521127135066,0.016922851628306472,0.06280744924725294,0.020907831308096914,0.4448341095254736,0.03284076156215926,0.13931756343168972,0.025040464466892193,0.4114326243401207,0.027743720293024784,0.42284015213386955,0.03021706115297256,0.04044043703520185,0.028901124693046693,0.01971034637308465,0.024088673267966765,0.034413565172580166,0.035433427058374274,0.005365768005213322,0.030968800711587394,0.2063689235032381,0.06441757252669507,0.2177326873578339,0.13745497333007187,0.03500883496286502,0.05686433359500115,0.12458282536066244,0.09777355094864766
9,4,l2,0.22915453963021543,0.03721282269378743,0.41324130809465326,0.03249581024541511,0.026219885781615125,0.026767695865379377,0.0325315729517867,0.03687501984120471,0.3131898264245633,0.025176527747806644,0.21025698377444102,0.03163117019325017,0.0540248414417817,0.018793336124493784,0.33075542297096255,0.03846440640062943,0.048622798364833776,0.029295211515150087,-0.08723350790272828,0.02306730397203901,0.027189877519145887,0.037515493698711454,0.07810965182906322,0.04033454086535938,0.49884159036084225,0.015025605034918212,0.6371132246249869,0.023486412409243863,0.2926336889943922,0.022418841419153502,0.2816370760440279,0.01542543912652209,0.47586153261912856,0.0349199648802357,0.2661368952387434,0.022814267703110836,0.30176629774947783,0.03667916551218067,0.4892763867757596,0.040588017343210075,0.05517552091560178,0.026493357616787047,0.03698905559691741,0.021313098865394026,0.037634420780847166,0.031058281685448278,0.026008587964029873,0.030730668302977313,0.19698905480653744,0.11617311519821241,0.18787199139766306,0.169092053005957,0.035811534914180904,0.030667614091937988,0.14713221591727088,0.13850736497468816
