,layer_idx,func,ISTFC_L1norm s0 mean,ISTFC_L1norm s0 stdv,I s0 mean,I s0 stdv,S s0 mean,S s0 stdv,T s0 mean,T s0 stdv,F s0 mean,F s0 stdv,C s0 mean,C s0 stdv,ISTFC_L1norm s1 mean,ISTFC_L1norm s1 stdv,I s1 mean,I s1 stdv,S s1 mean,S s1 stdv,T s1 mean,T s1 stdv,F s1 mean,F s1 stdv,C s1 mean,C s1 stdv,ISTFC_L1norm s2 mean,ISTFC_L1norm s2 stdv,I s2 mean,I s2 stdv,S s2 mean,S s2 stdv,T s2 mean,T s2 stdv,F s2 mean,F s2 stdv,C s2 mean,C s2 stdv,ISTFC_L1norm sla mean,ISTFC_L1norm sla stdv,I sla mean,I sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,F sla mean,F sla stdv,C sla mean,C sla stdv,ISTFC_L1norm ine mean,ISTFC_L1norm ine stdv,I ine mean,I ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,F ine mean,F ine stdv,C ine mean,C ine stdv,ISTFC_L1norm mul mean,ISTFC_L1norm mul stdv,I mul mean,I mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,F mul mean,F mul stdv,C mul mean,C mul stdv,ISTFC_L1norm rus_allseeds mean,ISTFC_L1norm rus_allseeds stdv,I rus_allseeds mean,I rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,F rus_allseeds mean,F rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.7528855465864824,0.0208673882308078,0.5396598741918639,0.0279743011704546,0.7308371939834128,0.018491184769424646,0.6166090506063593,0.028293006378863682,0.3564328078284743,0.024667698242009324,0.8314558327716718,0.0136081655383022,0.788550568681892,0.011245773780148125,0.5755743547846363,0.02647494298817827,0.7005797099655775,0.013897391720062902,0.4021122089038337,0.01988997663609806,0.5326382022750847,0.018656194426847912,0.8092387707850804,0.007501831298658413,0.7304404245400851,0.02613070118919037,0.5890969944252422,0.015325392637378022,0.5162447426478934,0.038149427683314766,0.668544397492479,0.02852587602216442,0.39466454681311103,0.036977058425171065,0.6728244458256585,0.023998750304784565,0.8405122717695568,0.010831255285926267,0.7018136070093134,0.017742653573785478,0.7337793902684852,0.008242640518695549,0.6362429877017138,0.020998998309210815,0.42569329661128386,0.01915547289699335,0.8005687021534171,0.012006707154488813,0.9555668536713791,0.0033910610858558683,0.6817402814305357,0.02515390525340191,0.864368185237115,0.011003925806264445,0.861352591387246,0.011980742746015164,0.6465738689513456,0.03281459891539703,0.9441747669982565,0.005733268233068902,0.8898499069654046,0.011614323569105136,0.7080628524001673,0.022240131443600947,0.7756670405342435,0.016276268231284793,0.6705581378939554,0.027062723139136737,0.47790489030880645,0.028618837481408185,0.8363886075544992,0.013869782584064936,0.7572921799361533,0.031281690304139534,0.6627012938683671,0.10031686171397987,0.649220548865628,0.09960785429399463,0.5624218856675572,0.1199227865225398,0.42791185230555673,0.08152366294719661,0.7711730164608033,0.07308738424353621
1,2,cosine,0.7328608889686339,0.02148572485664629,0.4115927215309517,0.029663393932451758,0.6222834676222595,0.022295372940454406,0.7865282642113719,0.015185590050336217,0.7126573946114805,0.01839085595620425,0.6672925257060159,0.023749592407517263,0.7445934025700088,0.008829284183388556,0.5401712886917291,0.02739548287050641,0.7600791710297721,0.013406900129193287,0.7758802283967194,0.013169261096815472,0.6011640043169872,0.012548866417637474,0.4404854855251454,0.026498479711486795,0.691707013333133,0.026652333239305586,0.7074717230219313,0.017093866313468934,0.6368732959607902,0.03340866632738791,0.7379150631820102,0.02331326388747673,0.5700112558706718,0.032849174692865114,0.4419668126713505,0.03043307535774136,0.7781693260751277,0.012253177207109807,0.7440027702785653,0.01588466863185345,0.7341837177290282,0.01611557411516918,0.8683540737863507,0.0067063127750629885,0.7007080197924356,0.016117276612579265,0.6139937232163355,0.016313210463755196,0.8971275159270384,0.005966740607534786,0.8270690456135394,0.009879086675573587,0.8662512981088243,0.009554955243119568,0.9446401844192707,0.005310597711656965,0.8460222668834041,0.012229055692831123,0.8090384997512412,0.015387502555376631,0.8177889246205936,0.01581401892108776,0.8643872944908104,0.014707669941410411,0.6666927738662595,0.026358500873116805,0.8736780165608737,0.009300223580403047,0.6610870430840371,0.030047640021803563,0.773210297631474,0.022612147493232464,0.723053768290592,0.030329796753771003,0.6380661730193979,0.1247081364165834,0.6730786448709406,0.06714302727453195,0.7667745185967004,0.02728381138112218,0.6279442182663799,0.06609037583399589,0.5165816079675039,0.11148668457910699
2,3,cosine,0.8213173306775282,0.014497088069472981,0.28402473406886053,0.023122508299138714,0.8033323572819484,0.017040337286610963,0.790190014845306,0.010067736643224249,0.7754833039773614,0.017066401302665058,0.7298274338809467,0.022579960476608072,0.7812383102620756,0.010453143582553415,0.3684071242250149,0.03614936285218577,0.7841905333418584,0.014544657080260821,0.8124380204969702,0.013499050603990124,0.7036864257725477,0.013851597462933202,0.4936918226446262,0.02436041028246846,0.7252497111507591,0.025338156356811886,0.5930327235112275,0.013772155723604773,0.6926535213233702,0.02889671318478381,0.6168668187740071,0.02488392172107265,0.6914558209146666,0.025848401293559763,0.608420664841517,0.03207436632215242,0.7048150933834362,0.016692670291520252,0.24970313639722166,0.029829779791762472,0.6976102595617093,0.014174369375276129,0.5136623998184121,0.02412827570238356,0.6629978347160158,0.013217201106268282,0.5190506806186211,0.020001215546121394,0.9160362384037646,0.006133676613314977,0.3776482622600126,0.024125629264350697,0.9379292056518906,0.008008627023352439,0.6790343546219355,0.029706545238295502,0.8879953436602215,0.008745970112596164,0.9254572158081287,0.00948721966836666,0.8628584877780723,0.012422364169193071,0.6187720188970617,0.023493701477196677,0.877102939978745,0.009046861126259837,0.48373173988064816,0.02397246757424108,0.8192096813584122,0.017975515322844467,0.8575696878660022,0.012324296226634814,0.7759351173634543,0.043636388998025945,0.5955449889825775,0.20732949483802504,0.7600588039823925,0.05318043154163284,0.7398316180387611,0.09047863834146126,0.7235418502215254,0.042172909937859666,0.6106466404556965,0.10138062482278401
3,4,cosine,0.7845019706140806,0.018026870451733127,0.3856573544250682,0.013158159654700147,0.8162446765224622,0.014206682236878047,0.6702774770703941,0.019385400537735995,0.7553506510733696,0.019505636075689687,0.7495447203353025,0.02266555491922465,0.7288933952466935,0.014501534924366202,0.35299892802513316,0.023626895717994582,0.7789281177560757,0.010321598341634593,0.6825718940775893,0.016366377895025267,0.6169090464035498,0.014655910033872038,0.6482429663039505,0.013526075812805358,0.6520376375848966,0.027594798489783943,0.4049254050557732,0.025477901054370755,0.7010661890136956,0.026427243183418433,0.4022424919550828,0.0292852169069798,0.6443834140667635,0.026855542949192977,0.37181575740305783,0.028056766221323134,0.6032699665694248,0.013292986035959256,0.20875080984106537,0.039504724571578075,0.7856710679417762,0.011552779621681884,0.1589397028101856,0.017490200450037793,0.6944572972637924,0.013378721968270576,0.5606263433060275,0.018749752987043837,0.9044087189808356,0.007694095496142834,0.521495763202199,0.026669675235319587,0.9470357339454617,0.0062559140141934845,0.7260314795608195,0.011122634708214977,0.7914683217857157,0.01883451556079558,0.9189015044451987,0.007589305086103454,0.8725662732514847,0.01034541136829187,0.5017197048649386,0.022496307037994052,0.9159918101722264,0.007603118125860147,0.7301365275721772,0.020175594574486644,0.8378853543779077,0.013499530317912201,0.8770638141937734,0.013692768760840607,0.7218110011485571,0.058768106970795236,0.5515024484919409,0.177871704731124,0.7654129944307446,0.05190547703960176,0.5850306210343554,0.13331835757269486,0.672214370514561,0.06413810344506572,0.5898678146807703,0.16377712991705587
4,5,cosine,0.747097972135664,0.01832508364831986,0.19947182955163786,0.02982647014151827,0.7811192883735922,0.01621537694766721,0.6143799805165393,0.023288903421868807,0.8059919787070043,0.014338815135971404,0.7200633913339027,0.01844013321798993,0.7930838222117097,0.009395832173546972,0.3389676595689788,0.03440071551740325,0.7973387645718126,0.012059487914860055,0.7600877718628334,0.01656132403018668,0.7284402917117541,0.013432149374978235,0.65130249237307,0.01232996358989528,0.608330554900127,0.028257639602955485,0.688149590930445,0.019857449270507702,0.6518568744192739,0.029938133168295113,0.4802146640384984,0.0304017004659584,0.5451331317411505,0.026912143483979408,0.1101561319896919,0.028766868381013264,0.7093315227501258,0.01375296615055601,0.4165795721073217,0.03649750347134391,0.7688736671491005,0.010237226036629377,0.37745479616752364,0.022329807700768093,0.7593326491549396,0.010643493719882333,0.5816398485516888,0.021341456842543793,0.9177630915464426,0.007136128981201852,0.3967843506902916,0.03304224824600303,0.917982951935468,0.008393993342497559,0.6564438561543655,0.024704022296665414,0.8672349849784868,0.013821735874006447,0.7816659193482378,0.01589764607798538,0.8606190711493025,0.0063489372578175805,0.5567018184238055,0.010804626709132677,0.8259917020305453,0.013945705099030063,0.7191110239856212,0.016792560485160424,0.8644100295212904,0.010333133978896628,0.7704907058984893,0.012815426864884157,0.7161707830825003,0.08221491499730628,0.5625169048830938,0.22178423827150742,0.7434383091215598,0.06919853955405118,0.6182274721392904,0.11854506710313209,0.6931884673866363,0.11278139466343363,0.49384067189888825,0.27815426702700413
5,6,cosine,0.6693724981373583,0.019285579784354256,0.5456264608601687,0.031567169024321155,0.7812375384670935,0.019383073125669517,0.431504331146,0.025412442969498808,0.5943321268066205,0.021323482690667864,0.1786595502838009,0.04209046348179219,0.5824587497480208,0.010761873056411766,0.41621025896121217,0.02567426031306939,0.6983956148626508,0.009906537941611154,0.3920701807288014,0.025969804390835786,0.6150274086289751,0.012309718878678015,0.1946786704751313,0.026044928615767852,0.5831316176667952,0.02590919425097403,0.215352986153117,0.03224779148127242,0.5317675269875972,0.030341927774801686,0.28321407324768383,0.02514677308189045,0.640502657866348,0.029529165979573464,0.2328522110035768,0.021269991118562422,0.27615230945001756,0.03764694268838951,-0.1250280371688228,0.02530513945479693,0.4340341696357031,0.028083696453219266,-0.13033215541534743,0.031433694231623455,0.5781563122647638,0.022794761723156372,0.05384827417369065,0.03417921130705246,0.6378603643705228,0.016998334036585672,0.17660442275419494,0.025398082664791568,0.6366072295028963,0.02065080132130656,0.0842030233770816,0.011765170125482796,0.7206139459464229,0.019448587164035042,0.2167502765966499,0.029048071530774197,0.5257639008289043,0.02532364961862134,-0.003567648526962612,0.02068515124284812,0.5061255022610852,0.030217569412289386,-0.014358732255755239,0.022049712774692167,0.6570653724360623,0.0203673857896627,0.36391708886952956,0.028334205464271397,0.6116542885173913,0.04563894291309539,0.5020254285877787,0.1518073644878396,0.6704668934391137,0.10754740987167531,0.36892952837416176,0.06836907915651774,0.6166207311006476,0.028768035102793854,0.20206347725416968,0.03788525072435315
6,1,l2,0.8328298150346229,0.014600309550314687,0.8225828090414987,0.014984017908062155,0.8254665446029865,0.015653196624932513,0.8191152290589916,0.015870405715763727,0.8607341690218293,0.012631685060633432,0.8304333290109984,0.01477635833777417,0.7858633684263916,0.007413522027949811,0.7722107738106837,0.008184455543017907,0.7789321674499847,0.007477580723169382,0.7704748524123014,0.00768987071720922,0.8121959490042204,0.0063401610739463685,0.7886698458504852,0.007395298896804818,0.7347142048320822,0.019912461065333665,0.7243150186537666,0.021870566545042706,0.7310983498775169,0.019590711590844714,0.7267817482952003,0.019983483721423903,0.7500247909721031,0.01777865741729728,0.7338982243493646,0.019787158309187466,0.8533453182577972,0.015114299545322098,0.8530730105549447,0.015357849044903005,0.8497057041853125,0.015094933957457049,0.8459450070255075,0.015508290253884475,0.8614986328089549,0.014024915256087416,0.8523463928048589,0.01553467771701769,0.974243890897378,0.0027615283035664715,0.96916771430952,0.002794719335507511,0.9724981771754498,0.003412283076143935,0.9718240546475355,0.002807243985113969,0.9743304040654035,0.0022767456309047804,0.9733213369229731,0.0031605679696991105,0.9182098531382487,0.008089963497617227,0.9076747553503696,0.009351584614698236,0.9170430511315819,0.008374002645883484,0.9151719048504507,0.008397001939587105,0.9170631980321146,0.009754242307044298,0.9111385725537321,0.008759406836634962,0.7844691294310322,0.04320929116411329,0.7787526649665077,0.04343832244539354,0.7784990206434961,0.04180916825259252,0.7721239432554977,0.04113109506527691,0.8076516363327175,0.04779089998897057,0.7843337997369493,0.042693057340668084
7,2,l2,0.8396395830787903,0.01419530331337361,0.8360230065434001,0.01459747161001616,0.8361314066539759,0.015085617892115608,0.8355211278953929,0.015238491530778293,0.8503815797052834,0.012523840917463482,0.8348370982343617,0.014839488098568228,0.7894272855139889,0.007901498620673617,0.7794821446296296,0.008309590713660782,0.7811372217182134,0.007814653766997318,0.7870915796080193,0.007974505982792502,0.8063421427200934,0.007168437027213439,0.7840285083155074,0.008008075334713307,0.7452094811002061,0.018776759332089273,0.7363438430941246,0.020072902238806124,0.7400861360318107,0.01896038597603965,0.7429199534344344,0.019092549040571425,0.755010232562463,0.01674103628994275,0.7344711418588702,0.019639642433830748,0.8649327800724602,0.014901221439344425,0.8567807038359192,0.015128984142512592,0.858803652574386,0.01512011395942291,0.8624956379423458,0.01568086805394283,0.8811841919556829,0.01677142870478036,0.8473634938452547,0.015508968383207453,0.9797528157012787,0.0029442452311206034,0.974434214899347,0.0029589815641381844,0.9745396027002284,0.00328050383556168,0.9735041713987235,0.0036570074130906614,0.7883300159682581,0.023981726861825984,0.9700830942053479,0.0031497777717352776,0.9135204459314007,0.008067540308353953,0.930794349611644,0.008167805722862999,0.9281247756375548,0.008915034857878892,0.9274664860638389,0.008552872754504802,0.4981883180889587,0.027639850229604142,0.9026460759795578,0.008719041721302707,0.7914254498976615,0.04160308086263651,0.7876875573266899,0.042621025152817814,0.785784921468,0.04245921166139034,0.7885108869792822,0.041041640858751983,0.8039113183292799,0.04150760681371984,0.7844455828029132,0.04410009475142703
8,3,l2,0.8405854443494913,0.014492909178319033,0.8362421686401618,0.015065592076502436,0.8354216252108181,0.015247748900027518,0.8510566066427945,0.014126658501374463,0.8130389572320519,0.017755352453384533,0.8376163563651826,0.015064501983456324,0.7945985808511421,0.0074119468087026266,0.7871714124842547,0.008046806956907949,0.7852375880732626,0.008104859304660645,0.8055101672030534,0.007611936391943095,0.7706274938721358,0.00962174840306826,0.7890347429919691,0.007739257203833105,0.739299542157055,0.018866891502261972,0.7364238906976868,0.01974898601906335,0.7392076677523942,0.01891459749269185,0.7524398040535307,0.018403205361952817,0.6664362507395775,0.019817909673086,0.7336861168330127,0.019098748259151324,0.8572370325607072,0.014866719971370464,0.8692636471057529,0.01457439271027298,0.8772767847495949,0.014645473423532793,0.8844976817906971,0.01581153060881813,0.3072642556856634,0.03598779603483135,0.8598909444852112,0.014951328278687288,0.9734020775322397,0.003283169993475488,0.9727904096320857,0.003377497969476419,0.9732008295106521,0.0033920323691781153,0.9451507405812686,0.004873103229385737,0.372859326454004,0.02870327983245956,0.9709079576715212,0.0033756068725587065,0.9221152984038467,0.0076670822323900946,0.9261662608822941,0.008597502780011725,0.9229068473889473,0.009243768739810703,0.8828635328429574,0.016113377891208012,0.4014173677007786,0.028350681874419695,0.9271756999339213,0.008536315428428802,0.7914945224525627,0.04434471795118855,0.7890535065299654,0.043830087824087274,0.7866222936788249,0.04243367664544797,0.803002192633126,0.04318618713722575,0.7500342339479219,0.06460175726529652,0.7867790720633884,0.045466232934521705
9,4,l2,0.8286008910524714,0.014738033774452073,0.8154397013185111,0.01611620973710825,0.7838049920088359,0.018326208219863645,0.7532471451006076,0.01883765495628381,0.7802651811326193,0.016866130440181364,0.7218023889875146,0.024516515471192928,0.7442555502056943,0.011553205122564556,0.7853790576465204,0.007712257832196883,0.7776003440557325,0.008509704298774633,0.736889936132884,0.01560474381127231,0.5691241613173534,0.01633988655581063,0.6726670972104564,0.018128142911834358,0.7136128240534676,0.019760115975388005,0.7196443871451427,0.021309642654198702,0.713545841646865,0.02224348217312586,0.7353179282324972,0.019432322852458214,0.7542923206180003,0.016868008366128274,0.5155043135733273,0.027584854241064324,0.8425106763141189,0.015279018185151405,0.8606483061561703,0.013614750499318979,0.8748855646572377,0.012692115022601117,0.8198410035713163,0.015716340338806145,0.5608593206268081,0.03382895856568899,0.8300266823027286,0.01551649979700725,0.956989633400138,0.0027606083923832304,0.9692114947404635,0.003305728906007548,0.9620001563437949,0.0037306853822771024,0.9452863823399312,0.0038084101174455254,0.6336338477391229,0.014229435271334844,0.960000313824821,0.006088159712918895,0.8838699109752552,0.01019519275568718,0.8800681978042411,0.012117746955258827,0.6699436767423954,0.023538890624724845,0.7028325943948552,0.013164494480154434,0.7948136053138384,0.01492937327515712,0.5238140285692539,0.026862496434307385,0.7621564217705443,0.05172481267647331,0.7678220685703014,0.047742029920604195,0.7583170592371444,0.03638242964354663,0.741818336488663,0.019258177881820937,0.7012272210226577,0.09696517589665407,0.6366579332570993,0.0923747796311723
