,layer_idx,func,STC_L1norm s0 mean,STC_L1norm s0 stdv,S s0 mean,S s0 stdv,T s0 mean,T s0 stdv,C s0 mean,C s0 stdv,STC_L1norm s1 mean,STC_L1norm s1 stdv,S s1 mean,S s1 stdv,T s1 mean,T s1 stdv,C s1 mean,C s1 stdv,STC_L1norm s2 mean,STC_L1norm s2 stdv,S s2 mean,S s2 stdv,T s2 mean,T s2 stdv,C s2 mean,C s2 stdv,STC_L1norm sla mean,STC_L1norm sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,C sla mean,C sla stdv,STC_L1norm ine mean,STC_L1norm ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,C ine mean,C ine stdv,STC_L1norm mul mean,STC_L1norm mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,C mul mean,C mul stdv,STC_L1norm rus_allseeds mean,STC_L1norm rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.27621705140777847,0.03134176065689006,0.08246597423516068,0.03747275056347648,-0.011125031409410685,0.029581301585520556,0.5995937169770158,0.02567150110301735,0.38610073901278275,0.03116629593449151,-0.0013978497418042509,0.030821554410362568,0.3469397189499476,0.046742032233628626,0.41988792419063276,0.016017102943564086,0.4637195827786864,0.023175896403990637,0.3932983021771371,0.029071564730829294,0.18839962863535872,0.026716075660043716,0.6225375552494372,0.02305120487233559,0.6945931685853294,0.016619998904087448,0.23339375744904672,0.03301584035777646,0.42316161094511723,0.03397230285782154,0.9120468844418127,0.0071795908058768804,0.36154103551377603,0.029521034234716612,0.1641678544969337,0.02710987207436809,0.3507163523286402,0.027478347566074184,0.21681627558563116,0.03359652495078939,0.7007356229744668,0.02542479828197005,0.6854745068299986,0.029849773548301164,0.34662944971450743,0.03544835043285191,0.7749829277009626,0.020793487972505447,0.37534579106641586,0.08303259126842588,0.2667339666449569,0.17473014096707976,0.1747381053919652,0.15288196513300603,0.5473397321390284,0.09456140738420328
1,2,cosine,0.2897449539625049,0.033664810032800675,0.10976370860786863,0.03867370882159722,0.09563963087514162,0.032074465448560845,0.5188417876117403,0.029712757460941115,0.3681948366433904,0.040592938150241654,-0.020886973829833212,0.038103761595857544,0.5016485421787485,0.034386126710508266,0.28747877895034313,0.03878455473644917,0.504658087243308,0.02274654121217694,0.4373453637593306,0.02435179586893949,0.36749390920636305,0.022618997642708347,0.608088058139036,0.024053292003089994,0.790599127144832,0.007429333090265736,0.6784003463378147,0.016524695791122573,0.5682136614575162,0.017775366168802074,0.840358016913755,0.008797255786151868,0.5141457750780684,0.029987713493813614,0.16138211061416102,0.029560527977283497,0.60363913508987,0.027774223061402138,0.34000027671972605,0.029290278790895706,0.5289180214743668,0.032071189749101205,0.530755220570403,0.028669366237558967,0.3652407883375229,0.03296750542345675,0.5668672249957314,0.026635408123331643,0.38753262594973453,0.09581485856006812,0.2814699960644283,0.1881027846514155,0.3215940274200844,0.17422966733344078,0.47146954156703974,0.1407252580597201
2,3,cosine,0.4360297485013894,0.02412420918714045,0.09135662686696953,0.03951270310360316,0.2386968565282725,0.032061923100515935,0.5034212739825397,0.015269364304955702,0.4222994625847177,0.041929640002564474,0.023441784320034482,0.04406602518017457,0.3712497837024438,0.04050492899060324,0.5004642761963337,0.035628884159635194,0.48824385604358456,0.027739019233474296,0.44782082342060736,0.02786975808734677,0.3791118583436305,0.0239818312407225,0.5345076405700571,0.029218416804508856,0.7799657225278571,0.01262724778124248,0.7054718510733402,0.015442253272098048,0.6576635476120334,0.019691026924701944,0.7750572369039663,0.01568337925949629,0.3621493558797564,0.03209590349971517,0.15970352314583214,0.03129738341700626,0.35238091374095465,0.03441112990378498,0.27327965189191855,0.030887318793490718,0.5239580764334257,0.02697574887132746,0.4766834161666531,0.023699537854531553,0.41676708419671227,0.032274176582565206,0.532424786184929,0.02441903741272506,0.4488576890432306,0.0424253438937664,0.31819871695621715,0.1910842061158277,0.32968616619144897,0.07279839376754477,0.5127977302496435,0.03124988444174253
3,4,cosine,0.48972610884792955,0.021338532123360166,0.06164032832991164,0.03888413614555144,0.40799032982177286,0.027622460287760612,0.5237042628192561,0.012369961620497739,0.6176798008330329,0.03211434642442646,0.0338872751008716,0.03331964468692397,0.65204272457352,0.01914035240914225,0.5363146274672441,0.028471856678092322,0.5684346548836942,0.02777148804051861,0.4926266968111703,0.03090953230211531,0.5135884621065165,0.025726949800212316,0.6234066101982728,0.022950828786995912,0.7260365897556118,0.0199733354506764,0.5842251327010544,0.025912043039524844,0.6766012669024454,0.022852395870266894,0.49199377623704754,0.04304089258664621,0.34941441001006457,0.03031011841025185,0.19746557835055745,0.031967453413693524,0.21805928458340693,0.03852107669382856,0.4172387516343242,0.031053746723248458,0.5733306326777987,0.02879720649645156,0.49752848050166076,0.0298940479501698,0.45311133835741985,0.03483303568560711,0.6445042713149819,0.018174916421410642,0.5586135215215523,0.05977798986529956,0.3773324774677683,0.24114137067368796,0.5245405055006032,0.10434163546872524,0.5611418334949244,0.04995248459125505
4,5,cosine,0.6649222392322189,0.018304207661126254,0.05939230935844235,0.02943090558038104,0.6387393757361528,0.017035211741344924,0.6394066295519945,0.018800967978129222,0.6329196164471889,0.027847530020775006,0.020001030442052075,0.0340581624711947,0.5619306432559574,0.027735489457347516,0.6452719113204565,0.02953487132951809,0.4677544852398593,0.028926331129923686,0.29096103438161686,0.03263329223868842,0.4110323122042887,0.023306028157318307,0.5145493355258582,0.026533429404521996,0.6566769366647097,0.02180061873236402,0.4893932452290815,0.03383410846931391,0.785063628273731,0.015501149861430785,0.20819846182508855,0.04482683369318666,0.3776751137025148,0.028848683739173667,0.14229016554648954,0.03207902121001673,0.21184654004723574,0.03590429023271215,0.49539072359915687,0.029804273418189694,0.5230272227928308,0.02896502270532792,0.44677053615974494,0.030703057910715262,0.4157361731168067,0.034519409078352964,0.5851197531720662,0.0222317112954754,0.5885321136397558,0.0912470550049349,0.35599178585022967,0.2584971173659241,0.5372341103987996,0.09875517547429749,0.5997426254661031,0.06602213016905556
5,6,cosine,0.4422232004730827,0.03317259278798246,0.39050715945965486,0.03707381496415561,0.24823583493747944,0.023705801949150142,0.2888821017478824,0.030477780860499938,0.3142433138624913,0.043424595779768906,0.16127300450848175,0.04756885924234559,0.22199464505161054,0.03638703135219055,0.2877797890807901,0.02686797508057557,0.3547671719915701,0.02375886634092546,0.030592079055543852,0.03684865474299661,0.3766339291049379,0.02230686280578392,0.2273829150636301,0.030002223940280598,0.4293439236576867,0.017757780961218328,0.27171836296264995,0.030744012208391645,0.4281245679092464,0.023193803665231237,0.13978752408806994,0.02406397033423709,0.5579241257410323,0.022284621164712932,0.23158318544302925,0.03527370463090776,0.5986667185747472,0.02557744512812675,0.3771734324674999,0.02239711901170221,0.49687547231401874,0.014992529074980438,0.33618608997667776,0.025754749079728037,0.36902199641031647,0.01981277196180605,0.4168897109299784,0.02231300589501679,0.3704112287757147,0.06365876325099987,0.28226765489180405,0.14801031195748407,0.28228813636467603,0.07390863986967669,0.2680149352974342,0.04056869073157392
6,1,l2,0.4005083578227576,0.043525003255576636,0.6856486156465911,0.029092594876441905,0.07547359915186365,0.04361636538025514,0.027532290787967668,0.04355374178607154,0.6943029579224335,0.022965349026460035,0.758082220713787,0.025083570461733755,0.4803765049487909,0.022750582637524813,0.28590769899489604,0.032410306715682395,0.29122247447588734,0.02355295950356997,0.5974397023249707,0.01794897413169317,0.030551597109886374,0.026595847884185356,-0.07333903501424446,0.03460046299421778,0.7716893227983391,0.009216471699512672,0.8869295960214849,0.012811131746432391,0.3524057987274859,0.02594791205514155,0.47138642080333665,0.020291549291045995,0.5930740420281597,0.010518287976296474,0.4488099152800542,0.02262784472736035,0.4930091692630498,0.029532170135780075,0.18080124927510316,0.021426893882389057,0.43217308872317106,0.026140961343122833,0.46757920109110634,0.034344850338827435,0.36064494397955327,0.02593718075355666,0.22931334987349317,0.02584482995251182,0.46201126340702614,0.17576411182842872,0.5712007214844047,0.17256108550650073,0.19546723373684702,0.2080977193242933,0.08003365158953976,0.1579980258247359
7,2,l2,0.3691941378848123,0.036490184984334074,0.43937776551343954,0.023214364564758866,0.20922467172966508,0.03822202459100702,0.16209543753548233,0.03755943998499036,0.395378862130958,0.03370639596074435,0.5913349170841775,0.026556429245723885,0.09712681229256484,0.034835167483231795,0.08860821041802311,0.036746680011209155,0.4463846161197564,0.021314441010049028,0.15788211666224222,0.03186288976922737,0.4046815225391865,0.019304162336691577,0.437019080427724,0.02689079425464462,0.45905125436017225,0.027748439712947787,0.5096409819155299,0.026829785673061744,0.23682002966531773,0.032552324423298466,0.20734615973915888,0.03464699206279457,0.58495735216903,0.01813408024614923,0.2692034874434393,0.03094047289694544,0.717538328913794,0.018445387482822987,0.3079530264774118,0.022732674897111945,0.10823778202051729,0.03015132070949225,0.06044798841846997,0.03195721054037865,0.13416801334509015,0.03082452305926587,0.05890615158772553,0.02656211026034515,0.40365253871184215,0.04437935860400809,0.39992540256589765,0.1331278235616498,0.2370110021871388,0.13286683326150434,0.22924090946040984,0.15602118459829512
8,3,l2,0.2332493663860394,0.04079806230846918,0.4428854806090034,0.029734132621952875,-0.03795052560813757,0.04829803598154403,0.04403457033413438,0.03823525910894461,0.21674144138271229,0.0381852117270381,0.16233124166927024,0.03510935748386659,0.04178720649100191,0.03906039504016087,0.18658138937578722,0.03900162551585997,0.11771398402773196,0.03120909375002344,0.017490558410632327,0.037954960876532176,0.049927114548099304,0.027007200110564844,0.10474732988263806,0.02116405619527689,0.4026757960315207,0.020310270235502265,0.4140147037053449,0.02635446902556677,0.25255446814688515,0.02611781439327965,0.26226608637021165,0.03143264709344963,0.3960530384307678,0.028590623192730022,0.07461346099456229,0.016474711002129078,0.36748968876390686,0.030048845187751663,0.41895964963620697,0.03703698980684973,0.08993230969273051,0.03171572550055386,0.06260178231065396,0.03364260649564498,0.08216152126767627,0.02853439710008454,0.05206722211289537,0.02889989935919495,0.18923493059882784,0.06296157647522448,0.19840201208089833,0.13576651169530862,0.017921265143654556,0.05522567429122418,0.11178776319751989,0.06777760426907056
9,4,l2,0.23947265802800805,0.03721683919790522,0.3917247844925939,0.03443381549494438,0.033419359134385415,0.042248699561907715,0.06623727052262056,0.028152101824888524,0.27358913235728916,0.04080488149555538,0.18134469134927597,0.03282250264755453,0.007433622395434161,0.03713497068577571,0.2882283357076857,0.0415871977477749,0.04566082780180633,0.03186241299013566,-0.08249761619399157,0.03177447525020319,0.01901964481757424,0.028122382103827368,0.06230268218084878,0.024252814479924598,0.6633373360394148,0.013856193432003075,0.7573273067799904,0.015802635028638084,0.4476463803729578,0.019231691115254915,0.4448218999625125,0.028336287706999315,0.42128393995698143,0.026624057868659262,0.21040570492687607,0.021157476115879387,0.2470163927907366,0.02926036159060395,0.48818130050560987,0.04617933908386527,0.11099063378374245,0.032040353314040586,0.0889095949313933,0.03427888322129464,0.08913641984075288,0.029339446471253947,0.07750803359903147,0.02906407951458369,0.18624087272903453,0.10809462778082085,0.17488241297249688,0.1597265452515494,0.019957542115797935,0.036663864893415214,0.13892276280371835,0.1117959702877255
