model1,model2,metric,component,layer0,layer1,layer2,layer3,layer4,layer5,layer6
sla-eng,rus-eng s2,norm_ratio,S,,36.425840859974244,123.95261315750734,78.16279337217563,33.71966722479779,99.97885888542255,161.76795359083147
sla-eng,rus-eng s3,norm_ratio,S,,25.83943484419426,74.22838519721782,66.47595209241268,83.23124489241265,205.67445352311015,154.49526552327356
mul-eng,rus-eng s1,norm_ratio,S,,22.091547649786186,141.2819409682841,35.24991742059992,92.13076334648889,356.5768875250894,184.4280144514155
mul-eng,rus-eng s2,norm_ratio,S,,30.083182418101405,190.41541082246533,29.926144059693932,84.25199302013759,254.66127004685134,190.46053946397214
mul-eng,rus-eng s3,norm_ratio,S,,53.52003208489745,132.51857827426036,30.032783192685358,61.34894591788187,368.8853879964222,203.01325058050887
ine-eng,sla-eng,norm_ratio,S,,27.854801125419826,31.77242003314101,34.787227136943926,34.480625094996995,173.89719608291904,125.32347551564784
ine-eng,mul-eng,norm_ratio,S,,19.541737721619967,15.271757162191888,47.062456696771044,61.716527352882146,341.2107355439916,102.79920184714842
sla-eng,mul-eng,norm_ratio,S,,53.857188301999656,53.02067880369867,40.12339613582107,110.55756976371181,131.0857625042479,102.21521856318749
rus-eng s1,rus-eng s2,norm_ratio,T,,31.10252746975701,10.919201257364715,15.823136404547505,56.2264824459118,83.83841096244308,38.232910376318415
rus-eng s2,rus-eng s3,norm_ratio,T,,22.803611589993206,10.28996673796108,18.017803835651748,18.469425822986963,32.282145746659346,46.95122683570818
rus-eng s3,rus-eng s1,norm_ratio,T,,58.249038537530645,9.79355024938738,26.88796217771146,35.93733333935278,45.49744199090904,31.284958439485266
ine-eng,rus-eng s1,norm_ratio,T,,17.332145845297074,14.78448939987344,18.299938680513762,64.50075199177293,26.699666968530014,78.57840284403123
ine-eng,rus-eng s2,norm_ratio,T,,19.19200419534449,15.498288996277132,24.462265033529953,16.42615835035588,54.017508017885575,67.61382319696
ine-eng,rus-eng s3,norm_ratio,T,,39.80100555655645,11.122097457624957,43.519147020196726,22.293963143225728,23.397687477429624,83.30849215376548
sla-eng,rus-eng s1,norm_ratio,T,,35.112717194951834,13.901843155779805,17.991493229423867,33.14700594333323,33.94774311975217,95.91938257387288
sla-eng,rus-eng s2,norm_ratio,T,,27.165891824561868,16.537786216891654,24.362856249077822,25.366398453051378,38.51091236228232,70.87398929843953
sla-eng,rus-eng s3,norm_ratio,T,,39.57512481536481,13.381113305789821,35.427561749969655,18.78572460541314,40.840724443322586,93.90097980877957
mul-eng,rus-eng s1,norm_ratio,T,,101.44128108249258,67.25651258225183,24.210848335840588,19.128738177990055,78.03804647084897,171.59645686526758
mul-eng,rus-eng s2,norm_ratio,T,,51.7995404033024,72.18802883424803,23.579248530305133,47.949798593722214,83.1334567986186,125.54396069835299
mul-eng,rus-eng s3,norm_ratio,T,,19.002859664508573,67.45067385688782,32.54717162842695,36.18892077687693,89.5446162094099,190.752870347752
ine-eng,sla-eng,norm_ratio,T,,26.42761331265749,10.246157752842809,17.980737960273387,26.929244455316606,35.27013145653177,65.135902105196
ine-eng,mul-eng,norm_ratio,T,,80.01550108874989,66.13253360979564,32.92191321239959,53.37388956295064,80.15345476308033,93.8928068493884
sla-eng,mul-eng,norm_ratio,T,,61.82846644669468,48.91060546004999,41.271081761080865,32.98527768542618,67.07019729203748,75.17373879282707
rus-eng s1,rus-eng s2,norm_ratio,F,,27.399390410108268,17.37881297550542,22.203205293232745,41.26965169412914,165.612789547693,146.47673598585152
rus-eng s2,rus-eng s3,norm_ratio,F,,19.83758258842531,21.35288351007578,22.322482209265164,30.68843963635808,203.39383022274222,173.27013423517292
rus-eng s3,rus-eng s1,norm_ratio,F,,53.3648270983492,12.605672471710658,32.478462278605825,46.95626699254812,49.13229923248079,97.99392290681504
ine-eng,rus-eng s1,norm_ratio,F,,165.39879547830907,28.437545566763227,42.856184442870514,198.32870995685332,424.13191941988504,184.12180087514685
ine-eng,rus-eng s2,norm_ratio,F,,104.61912390399092,26.76013017936721,32.971628773673274,145.48465937195147,267.62739159719376,219.59217188448196
ine-eng,rus-eng s3,norm_ratio,F,,79.74370423909663,25.581077364082173,28.325149618176795,168.76526158321872,412.6346174595475,188.68792060156153
