,layer_idx,func,ISTFC_L1norm s0 mean,ISTFC_L1norm s0 stdv,I s0 mean,I s0 stdv,S s0 mean,S s0 stdv,T s0 mean,T s0 stdv,F s0 mean,F s0 stdv,C s0 mean,C s0 stdv,ISTFC_L1norm s1 mean,ISTFC_L1norm s1 stdv,I s1 mean,I s1 stdv,S s1 mean,S s1 stdv,T s1 mean,T s1 stdv,F s1 mean,F s1 stdv,C s1 mean,C s1 stdv,ISTFC_L1norm s2 mean,ISTFC_L1norm s2 stdv,I s2 mean,I s2 stdv,S s2 mean,S s2 stdv,T s2 mean,T s2 stdv,F s2 mean,F s2 stdv,C s2 mean,C s2 stdv,ISTFC_L1norm sla mean,ISTFC_L1norm sla stdv,I sla mean,I sla stdv,S sla mean,S sla stdv,T sla mean,T sla stdv,F sla mean,F sla stdv,C sla mean,C sla stdv,ISTFC_L1norm ine mean,ISTFC_L1norm ine stdv,I ine mean,I ine stdv,S ine mean,S ine stdv,T ine mean,T ine stdv,F ine mean,F ine stdv,C ine mean,C ine stdv,ISTFC_L1norm mul mean,ISTFC_L1norm mul stdv,I mul mean,I mul stdv,S mul mean,S mul stdv,T mul mean,T mul stdv,F mul mean,F mul stdv,C mul mean,C mul stdv,ISTFC_L1norm rus_allseeds mean,ISTFC_L1norm rus_allseeds stdv,I rus_allseeds mean,I rus_allseeds stdv,S rus_allseeds mean,S rus_allseeds stdv,T rus_allseeds mean,T rus_allseeds stdv,F rus_allseeds mean,F rus_allseeds stdv,C rus_allseeds mean,C rus_allseeds stdv
0,1,cosine,0.7867777775523537,0.01113840032922685,0.5544933595706978,0.01954855699467691,0.7502258447461863,0.019208990646190326,0.6588285449958634,0.01417045740185262,0.4164895608727046,0.018546925939906343,0.8585312122664714,0.009775714864346401,0.8468695514213535,0.011444472317530886,0.5749569002636894,0.02416918263500262,0.6842513565527782,0.016618668733984637,0.5054977479063978,0.02553483428983698,0.5159858703255387,0.026247715436166823,0.8400947116960621,0.010111507933568914,0.7804609064000576,0.01840663887956344,0.484891739984931,0.026165105277213087,0.6070524911273927,0.028026244526114893,0.7653817294375737,0.016887897074583505,0.4745073239448505,0.02304751023896915,0.7527233541586952,0.02194280227484867,0.9334368748695037,0.004251968453832284,0.819962316367446,0.015474315606291733,0.7568339413295312,0.010546621078893953,0.6436740189968585,0.02306611513873366,0.5324299042461923,0.03569143400622044,0.9118305108498396,0.0061605635239569525,0.9475994314836396,0.004329848980037035,0.6471764132625153,0.03130753096084725,0.8762088502819291,0.010775234878547679,0.8654816934972634,0.01552433526220256,0.6454053482042974,0.014613410335866411,0.9426852297892421,0.005817580533885245,0.9247243751595494,0.006405804716085969,0.7369266088041347,0.013217315696333965,0.7893499346852811,0.01810930293362413,0.6926366103275349,0.017121153915896428,0.5113760495548116,0.03191546535817579,0.8967789089287393,0.010331861852824623,0.8047027451245881,0.033329445392552455,0.6714083725321807,0.14007862093307102,0.6805098974754523,0.06313061074061992,0.6432360074466117,0.11010772216427575,0.46899425171436465,0.04698883075496099,0.8171164260404095,0.04913394158375598
1,2,cosine,0.7728298775823351,0.010968197530593367,0.4117044590107338,0.029157974612897476,0.6978182422733024,0.017496851468739232,0.8281930136827796,0.012572952688860002,0.7561788790625237,0.017027546834419333,0.7193213279942597,0.01461611220940673,0.7733449883089529,0.015655899736480836,0.5162666934716222,0.025199252049913898,0.7840175740883377,0.015438787072826731,0.8245462116743866,0.012530019863222906,0.6339759864786888,0.01981145770217295,0.4523581390635111,0.025685965010616766,0.853656591839522,0.01371066013667571,0.7620529637291855,0.02013871994811153,0.8151902236764871,0.013190100800174444,0.9167329328103048,0.006929098102376741,0.7453098091778048,0.015966344681038257,0.5593049055434077,0.024268609715002464,0.9074870292725251,0.006944635883409324,0.8561243444202041,0.011749184266975132,0.850139315628035,0.011889994840130598,0.9588607230845814,0.0053955005750630355,0.8468799524523305,0.009749100910752996,0.7671127028011921,0.01852612048318499,0.888296368668717,0.006590549586280399,0.8191346761014472,0.012779023648190372,0.854009570281636,0.0068417143471608995,0.9464115221712026,0.005927641390374476,0.8381326662883705,0.012266530498011331,0.7994658865587139,0.016069725501538522,0.8805369395209874,0.007442823086520549,0.9137620530003641,0.007114887790334842,0.7196743528187985,0.016625704498572487,0.9457932752732244,0.00816303605211966,0.7286271793483902,0.015818525658168926,0.8465185660589007,0.009223801329373114,0.7999438192436035,0.04079290531179163,0.6816425956570585,0.16218560812245622,0.7656753466793759,0.05265166668542534,0.8564907193891571,0.04463306198055499,0.7118215582396722,0.05870025476427255,0.5769947908670595,0.11359364759301947
2,3,cosine,0.8578690138348488,0.00880381253809178,0.3276129936739244,0.027963733740822203,0.8402339253361353,0.01154438262883841,0.8092130878828165,0.013175129190082948,0.8020495259355886,0.011781381697716925,0.7683865758351283,0.012946835431706046,0.8164323716664962,0.013789666329679526,0.45125413294441435,0.021936495362634954,0.8078435091926854,0.014374357064069875,0.8714428213403019,0.009421884184987626,0.7350578278928022,0.01842724134522303,0.5009662199445104,0.029168844313503396,0.8709886345970886,0.012538782931554361,0.6499139051037999,0.012852557130894686,0.8742517505978693,0.011232221989048703,0.6440162804266889,0.020593061218571195,0.8621815067287185,0.011809976089846092,0.7229083906578025,0.018985521285496174,0.8399406453725085,0.008632250650597114,0.2803907667496329,0.02549242169086424,0.834816503183719,0.011731494993659516,0.608459028080557,0.012464078274768642,0.8178527709439608,0.014678635658329307,0.6884517991957605,0.020969399213999103,0.9218423892246141,0.004539392599696934,0.40374834486442285,0.02831962245409571,0.9427683659044392,0.00538706142014023,0.7111976286875263,0.021163979968739484,0.8827819978840152,0.008087219219163047,0.9277835262068287,0.006175672658869117,0.9131546947265248,0.007704873463433238,0.6366537766292131,0.022479324013251544,0.9097184808512025,0.0077698134371714,0.570405905071208,0.027719559627326112,0.872835860430367,0.01135963993203144,0.9177221088992121,0.007656430022914589,0.8484300066994781,0.02628904306382197,0.6623451753034286,0.21150471929588083,0.8407763950422299,0.030085628504180624,0.7748907298832689,0.09869185627401175,0.7997629535190364,0.054596050200394035,0.6640870621458136,0.1206130164595847
3,4,cosine,0.8277241744695794,0.009738284277000986,0.46304708178382753,0.03283448783570358,0.8573626693803726,0.010449752334851296,0.7023737386162038,0.02273829978137178,0.7905223943905706,0.013320589761078028,0.7952453388556289,0.01011915526712652,0.7814806253635482,0.013577280044870467,0.4363188982555492,0.03171698868494751,0.8194812103873887,0.011772085830066338,0.7417836133847377,0.015277996344683093,0.6483474083601658,0.019649584188697156,0.6763195511492286,0.02148812507173171,0.8035398882753867,0.0152148490217097,0.48669262926625645,0.028242049643294208,0.8674782983905726,0.011227170680464985,0.5797577267510949,0.023901052459093207,0.814954956736498,0.012902349257430747,0.4193289874560864,0.028792800303134646,0.7659061436038982,0.012949241785270396,0.29621208285180617,0.01810238799142294,0.9209963562375929,0.007957264109975902,0.3718020474702447,0.021983367286032715,0.8462909806286835,0.01960257915009048,0.7273054070522611,0.022160189069520653,0.9113522255410926,0.005849012970966983,0.534371358773296,0.01987101472824612,0.9483564845175121,0.004455181023813042,0.7667116983140054,0.011933534027344947,0.7942320298815325,0.012731729146723806,0.9075841668914431,0.0047823343547426355,0.9262937920101869,0.007392614483353069,0.5381188234205145,0.0202770347053818,0.9559480195078418,0.005438533249420501,0.8109298126216083,0.01606255020618608,0.8990523900448804,0.011935571723028704,0.9325282224526011,0.004183170866980727,0.8042482293695047,0.022966144858107124,0.6331338829023581,0.17518714473241603,0.8481073927194446,0.023611775763324384,0.674638359584012,0.07303661771003975,0.751274919829078,0.07621792117802186,0.6302979591536481,0.16091053197783114
4,5,cosine,0.7844376278415152,0.01244850204051005,0.23986175491373612,0.02969665957479261,0.8260870037414423,0.009803502849160374,0.6561835675189511,0.022368607998990788,0.8200269629117972,0.013281245109321388,0.7685668415800647,0.013770731492382228,0.8201606616562674,0.014551328397888696,0.4086027643443059,0.021708516568380392,0.8389527357875759,0.0121807238920608,0.8125073439405037,0.01359021301948902,0.7508317600383172,0.020046577631683417,0.6307537263402896,0.02349572220808587,0.7545993662465744,0.01373531949373518,0.7097227063739989,0.018077045873300508,0.8278120756300631,0.011380406544089285,0.6433691171454577,0.01742859589930196,0.6909970821785281,0.01767227680508984,0.23349147101678377,0.023394773965910404,0.847671582404662,0.014639582997400445,0.4662326552497421,0.020165428128523642,0.8686239426045429,0.007223286082458607,0.5600506455682954,0.026090831785512563,0.886169663962814,0.01353727042591411,0.7382214638965576,0.015779119202323343,0.9338394302437922,0.0035065087243853024,0.41148745191005237,0.026216271931256772,0.9377561942181737,0.00903562746049549,0.6960369671167072,0.01876053396859155,0.8913362710307368,0.009947251507449599,0.7745257807066053,0.013537793894102021,0.9117945695957264,0.008617098304419516,0.5692658655087306,0.0173741259438811,0.8762225047706638,0.0076330179069588385,0.7640050953389539,0.014357793561684616,0.9289344392818519,0.008536120682500108,0.8150554255478998,0.01066787435817783,0.7863992185814522,0.030256047054504458,0.6195641468960663,0.21958191428529766,0.830950605053027,0.01223522615281952,0.7040200095349707,0.08014272114148249,0.7539519350428807,0.05614165520204966,0.5442706796457126,0.23158516706359217
5,6,cosine,0.7147172022372206,0.01641756210508508,0.5746597299184308,0.018189992819066806,0.821780216820548,0.013707356955027472,0.48365842865729103,0.021572345761458438,0.6319709294062983,0.019581220723723,0.2119546059464108,0.03317269452572364,0.6595972657828456,0.021062324941549197,0.46828435681240066,0.029338247920224957,0.7486901714243078,0.016930528303956135,0.46604953894351686,0.016340977949161936,0.664289625687007,0.019645173033166784,0.2912711980665561,0.03323606096419291,0.7122664339314927,0.018489952872052746,0.4286435846368544,0.02556675782071432,0.6118257510259347,0.023433222861555983,0.3024090322813936,0.038992584028160415,0.7623311578303164,0.015346350742380431,0.21102079259531945,0.025338535949821016,0.28155007858486647,0.01751624582503288,-0.11406144604692606,0.028010045636645553,0.4609961927241155,0.023347168344701588,-0.10306179565630738,0.035541530234941214,0.6302873080304976,0.018420673050202355,0.027413456448838136,0.031109677786126125,0.5999061501318754,0.037081089512481624,0.16231654372318258,0.03360461955368064,0.6262597402274716,0.02995938613785669,0.08189442072305886,0.04359577338993707,0.6995965664728261,0.01588947822674615,0.17696746208354147,0.04377785094780537,0.5137052372719204,0.025165502024306483,0.02664627612407554,0.019236366941101077,0.4973117922785801,0.018509515712624443,-0.06422989591580816,0.02044890311645482,0.652673539178995,0.032874984988967924,0.3456720750658392,0.02356303862070128,0.6955269673171862,0.03156247729848274,0.5930280955532076,0.1157059486502763,0.7274320464235969,0.09028610843750941,0.41737233329406714,0.08711350327279895,0.6861972376412072,0.05907677800485985,0.23808219886942875,0.048446325757299714
6,1,l2,0.8626023885594692,0.009306715935340012,0.8506237589291381,0.009561031538507294,0.8552091640856576,0.010284091817881227,0.8491996802637555,0.009675111068101238,0.8953814780065292,0.009113814094825777,0.8593082267712557,0.00975671578359101,0.8275913149215135,0.014741633026703971,0.8112390634093563,0.016501380496789127,0.8224532262464296,0.014489215303157638,0.8139811690207926,0.01499639841085416,0.8543714812969692,0.013250273240868764,0.830047140171985,0.014628318788486097,0.8956803804108157,0.011010110753629815,0.8875365323124557,0.011573970457617504,0.8877851366577396,0.012568130951076733,0.8845556884447431,0.010821097484235504,0.9248277454866797,0.009465614471446573,0.8878909612226302,0.011872501700106423,0.9771577718412388,0.002253364524100811,0.9777036393155019,0.002500916029860037,0.9741875672267811,0.0028798905509420315,0.9700888817558686,0.0032912280846793414,0.9797240362554935,0.0021142946722187894,0.9754635461102316,0.003781642104356307,0.9853926221258693,0.0021539884951764354,0.9849775664483464,0.0032433013825081147,0.9824665316789071,0.0031418725955796793,0.9806164568266297,0.0028941496088488727,0.9871181350283036,0.0013347881179693274,0.9817398631319298,0.002693492310706039,0.9738144401328508,0.0014681794795337378,0.9646014937842733,0.001965975362173979,0.9711293399223739,0.0021597027278937686,0.97178514675104,0.0017790907838338824,0.9708335162545776,0.001987905181233839,0.9657629921348978,0.002067945126067184,0.8619580279639328,0.030520321893560163,0.8558789064237913,0.03263206502563918,0.8551491756632756,0.029713730108074342,0.8492455125764304,0.031526785809456774,0.8915269015967259,0.031171027141180266,0.8590821093886237,0.026769477404931845
7,2,l2,0.8685675738963677,0.009658538588243526,0.8648951769505817,0.009718316996947331,0.8643389314116128,0.010221040322870424,0.8658611659588381,0.0108506949581782,0.8802147633794988,0.009070129453299837,0.863310838442177,0.010238514858781512,0.8307805377050445,0.014558747771869728,0.8201234096971062,0.015246204080596704,0.8233958983021148,0.014601029554301374,0.8274045697275818,0.013848485981297553,0.8530159819074005,0.012960229120990718,0.8231538517437412,0.014823982706558679,0.9072252467961837,0.010589050954522271,0.8990573036602705,0.012043592850039897,0.9001214709055219,0.012087190236968748,0.906956465924867,0.011667165941156188,0.9152364632672061,0.010195796048739537,0.8921282281470047,0.012042669507179471,0.9835121599173167,0.0015196446599626185,0.9803766195039451,0.002881050044732852,0.9815364907320434,0.0026830838087916545,0.9808133921825176,0.00296650842281852,0.9449056864385215,0.005898463456184064,0.9725987498579498,0.004234956712506623,0.985624121003387,0.0018484002613027503,0.9888252890191003,0.0026669325022977736,0.9894652200477901,0.0025831692138098545,0.984269733238723,0.003591412083467333,0.7414421457798543,0.018266675778426323,0.9752977856026419,0.0036108485910667392,0.9636313048975804,0.002003405349750255,0.9823121626606106,0.0009034597873740541,0.9837213603596175,0.0009615159706024577,0.9819922558192957,0.001189999990349363,0.5562275435438921,0.023823574279227714,0.9542962767066232,0.0030660042106982126,0.8688577861325321,0.033721262926528404,0.8651082081175924,0.03429879037636402,0.8626187668730833,0.03406499417774582,0.8667407338704288,0.03506884543979043,0.8828224028513686,0.027944920984198304,0.8595309727776409,0.031199063655068502
8,3,l2,0.870102587063949,0.009697287090323263,0.8645590281365616,0.009983893725804473,0.8628805392990608,0.010781253904258409,0.8786073238739036,0.011150113032389596,0.851120027855028,0.008934902019685503,0.8670459997175239,0.010539482479686172,0.8358072641283176,0.014536983693768669,0.827122892930419,0.014454361738288101,0.8262645660072765,0.014127883592993797,0.8417029993262807,0.012355341957416173,0.8255142092284213,0.015030208003485151,0.8266185086449962,0.014641664862981622,0.897025865572523,0.011550846261623242,0.897267379900429,0.01236204424537793,0.8965466782350549,0.012496099415825105,0.9116495562511506,0.011551929330336183,0.8240188539050439,0.01515949644190202,0.8839775294601088,0.013101770505741505,0.9788940612612199,0.0023829929584491152,0.9865815128750695,0.0027544611333474123,0.9884506093188001,0.001279628023533487,0.9808791018658634,0.003387652125361405,0.4555165090720082,0.027820634109268005,0.9810349934757211,0.0033952520669083422,0.9703261472768773,0.003022678990005705,0.9864000713755126,0.0032783478017183857,0.9886094563121116,0.0027364839589323754,0.9471737991861889,0.00594180968889154,0.3047049596956887,0.02637201535219115,0.9756256950903509,0.0035288311081119,0.9661316925639019,0.001530353623943936,0.9761413507995172,0.0014699160143509958,0.9810587487561155,0.0026958245057358598,0.904450567530071,0.009023176515496317,0.4439326202629005,0.03135148740004573,0.9783818456369973,0.001596636196997683,0.8676452389215965,0.02802598185119118,0.8653141696220332,0.02965781894283777,0.8618972611804642,0.031601093561636026,0.8773199598171113,0.031173210659815997,0.8335510303294977,0.01806232044932611,0.8592140126075429,0.02744551062922466
9,4,l2,0.8562119552922708,0.010683554055234117,0.843441262159342,0.010827594741068626,0.8082825680796603,0.012156111298572352,0.7698654889401011,0.012636694749031566,0.8034735184716192,0.017054763890437297,0.7538826438566113,0.01543365309108208,0.7722333922536109,0.017850027489352355,0.8233947840664035,0.015526706515620079,0.81231205432358,0.016914033840176704,0.7434076650308458,0.01986446096453197,0.6047493884499808,0.02046103483191102,0.679375380474905,0.021535357279269102,0.848021182130765,0.015188230085091358,0.8754441852603965,0.013157359353125751,0.8640380884615292,0.014639877850228194,0.8849175394986684,0.012274308857535944,0.8373388550925362,0.012092992470451421,0.5507628006364659,0.039966868833658645,0.9707612269458954,0.003470665863121846,0.9740517528702608,0.00380699421309268,0.9541291303301712,0.005539323226556429,0.8776708201875536,0.011297439485223035,0.710445011438975,0.01824367822154692,0.9644975388634525,0.004711005291094213,0.9573277386012966,0.004609939210870093,0.9817966265131111,0.0032307204903278147,0.9798775904331334,0.0027132764620672414,0.9500692799126436,0.006167122287154239,0.6225753614017366,0.01425246225581683,0.9553804483233437,0.004816069629395377,0.936676960410759,0.004564429225035258,0.9283741859137431,0.0032150049294612402,0.7194277713327857,0.02131378510305754,0.7597503793607545,0.017031509032266,0.8535682611431671,0.01632769835522058,0.5729948961577849,0.014135944151124416,0.8254888432255487,0.04104185709229161,0.8364577935271312,0.03556672048480013,0.8282109036215899,0.029459865074107017,0.7993968978232052,0.06420636401278002,0.7485205873380454,0.10561617300879467,0.6613402749893275,0.08941596088800993
