index,layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,0,cosine,1.0,0.0,0.0,0.0,0.0,1.5562447063849705e-16,0.0,0.0,0.0,0.0,1000
1,0,l2,0.0,27.98922667828927,27.98922667828927,27.98922667828927,27.98922667828927,0.0,0.6980483661048497,0.6980483661048497,0.6980483661048497,0.6980483661048497,1000
2,0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
3,0,spim,1.0,0.0,0.0,0.0,0.0,1.5562447063849705e-16,0.0,0.0,0.0,0.0,1000
4,1,cosine,0.5883173790657464,0.4571541898274576,0.360851035387117,0.32847075276339405,-0.0021026629131208167,0.050883210923058655,0.03358514023142823,0.06845785813376008,0.04360153925949128,0.0008257822012321501,1000
5,1,l2,18.476059637325765,20.32490447195925,21.168752875182513,21.508229052161735,23.076872682363973,0.8990389074403754,0.4960054311175562,0.6918931618365187,0.4492418130345628,0.1692495454259858,1000
6,1,norm_ratio,0.7127026477690923,0.5832705310628349,0.4587844263378349,0.43817875397512,0.19477739741533615,0.04345720557250286,0.01994812930122172,0.05566960443146907,0.023287501713709018,0.03839837393192772,1000
7,1,spim,0.4207567503220554,0.2666330348958676,0.16870128424088657,0.14430210354979747,-0.00039317300860714546,0.05546659830650537,0.021353328382825755,0.051922983822592694,0.024303687575775022,0.00012504361457912276,1000
8,2,cosine,0.370646110176414,0.49948012622427596,0.46237299614931293,0.49643022770001377,-0.002358161867300208,0.05379602673800158,0.04765258983877089,0.05392129663429956,0.0600731720658705,0.0009707885912948149,1000
9,2,l2,21.084272474007214,19.832178860399427,20.08214548842306,19.63090411466973,22.88356093513912,0.5239225647337259,0.7414663649575273,0.6992412182124914,0.8577739583792457,0.11558718072141883,1000
10,2,norm_ratio,0.45739799677322557,0.6357265576985387,0.517035761096769,0.5409208623772791,0.14429400202671722,0.05273920256571915,0.03296481671818186,0.051134073553676336,0.0354729744215467,0.03422362908694042,1000
11,2,spim,0.17166319381585213,0.3180389509720187,0.24070869524436905,0.2699181067286963,-0.0003289467609362391,0.041400183812821685,0.0382515808374523,0.04910574117620981,0.04807351024163439,0.00012801852819409491,1000
12,3,cosine,0.22212688730426058,0.4547987480643641,0.604330614102379,0.5946148969317485,-0.0015383098092365786,0.04588200226050089,0.045585471740005386,0.03333423618504386,0.0646159936398895,0.0020433582620714005,1000
13,3,l2,22.07507907980284,20.3159060937122,18.08675230682069,18.140472967691494,22.70446631560237,0.26529726792348074,0.5863927600203203,0.5151829798702863,1.0787125891540397,0.05514314567682434,1000
14,3,norm_ratio,0.25433997463968433,0.5728715852671606,0.5561874952890792,0.5775183152591565,0.07380449019044254,0.03772705097533792,0.040678068812567414,0.04658616208070609,0.03711414056889565,0.02907175027693051,1000
15,3,spim,0.057255435892294974,0.26165334028433385,0.3361397014687974,0.3450541943569869,-0.00010267200241324912,0.01786712204399683,0.03951188272595688,0.03414671485294001,0.05655162397837508,8.999808147728525e-05,1000
16,4,cosine,0.1434792737224965,0.47794771304196265,0.6456848404594794,0.6396465088593287,0.012949216326721727,0.06706695981985943,0.041196713465418276,0.027784802644107997,0.05487635364469645,0.018628351841017996,1000
17,4,l2,22.403249450670614,19.9301338283443,17.434867459330153,17.434964564904913,22.640027811700318,0.20233756320632834,0.5354877424033037,0.45450152308813074,0.9505965442633971,0.013325064560368473,1000
18,4,norm_ratio,0.12878961162405547,0.552285470671028,0.5480946806417903,0.5645633612699043,0.02832805419218199,0.02314994598140948,0.035346443403907864,0.033333499597225404,0.029857437342451987,0.016502037025636632,1000
19,4,spim,0.018604021074295443,0.265133211550825,0.35384371042952023,0.36220956319886893,0.00020949374649025432,0.00989976541719089,0.03778041619153366,0.025323765190942694,0.04683685176774824,0.00013802632938480396,1000
20,5,cosine,0.13604707362990542,0.6153827095445077,0.579192080350261,0.742300379347918,0.07900156901026652,0.11073376325038141,0.03852830021214069,0.031470192738739966,0.03924630170407391,0.06814620980686462,1000
21,5,l2,22.509272842327096,17.965375227268655,18.614952486868294,15.93264412762706,22.610952212739857,0.14292714303321669,0.5701861209761654,0.36989715325378475,0.6899526485323761,0.011425095315216028,1000
22,5,norm_ratio,0.05318809182318326,0.5246921997280918,0.4783909225985703,0.5273341785071056,0.03040716847013659,0.009944755214364201,0.02942090882388229,0.02845558578558162,0.03259262453404221,0.012413025354165299,1000
23,5,spim,0.007173614546724661,0.3229076457747624,0.276659984258615,0.3914659613843454,0.0017927940355523739,0.006315190054115002,0.02776819806800727,0.016509522533432918,0.03188136189850356,0.0003082482874460695,1000
24,6,cosine,0.13856504699733793,0.8427675933420102,0.6661500036529504,0.8964349349280656,0.6146484809133023,0.12663620968375627,0.03179568182654841,0.054705083079663284,0.035190675542037406,0.19448666405165008,1000
25,6,l2,22.81322846562704,15.782979349469985,18.809439111873356,13.945024128575211,22.68575856280331,0.06060235775324934,0.15276535314549552,0.2875372935319137,0.5690708932554805,0.0031351608493833706,1000
26,6,norm_ratio,0.017498335653957413,0.413437405638648,0.32363884792461123,0.47730020139062,0.014521446418496365,0.0031835608604597674,0.02760596478720941,0.02721658909052636,0.012443249031132047,0.005396852872549439,1000
27,6,spim,0.0024416763643713172,0.34759924222148025,0.21431404285018119,0.4276926701372469,0.007952368426720164,0.002475209370891791,0.011338394257110392,0.009429683700995308,0.015808139576725708,0.00039136537415916477,1000
0,0,cosine,1.0,0.0,0.0,0.0,0.0,1.4795719445930118e-16,0.0,0.0,0.0,0.0,2000
