layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,cosine,1.0,0.0,0.0,0.0,0.0,1.546367761813505e-16,0.0,0.0,0.0,0.0,1000
0,l2,0.0,27.806826228570902,27.806826228570902,27.806826228570902,27.806826228570902,0.0,0.6237559223341972,0.6237559223341972,0.6237559223341972,0.6237559223341972,1000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,spim,1.0,0.0,0.0,0.0,0.0,1.546367761813505e-16,0.0,0.0,0.0,0.0,1000
1,cosine,0.5728573207215829,0.46062674415738974,0.34325315031621834,0.3595204344950776,-0.0013676910220069406,0.05573461116403918,0.04152190570561134,0.07820799108349992,0.052345743703204904,0.00036344161226546103,1000
1,l2,18.76138438369838,20.261684071969352,21.349721535204534,21.191128477958745,23.461689874293164,0.9449695936317125,0.5660123633521661,0.7825974361919262,0.5706034719417488,0.2299004555441947,1000
1,norm_ratio,0.710430857682492,0.5824924087478781,0.4593478258888794,0.4470735213909993,0.27019513671387163,0.04727340345442263,0.026135948041347976,0.05701823033217831,0.023176559132274066,0.038477253947955974,1000
1,spim,0.408858213800232,0.26876196771195876,0.1613982104417676,0.16134382262312208,-0.000362214577080469,0.060689006915148044,0.03073859307759784,0.05641607754103534,0.03024669781663812,8.159286987534317e-05,1000
2,cosine,0.35821324947323796,0.48242429186830493,0.45509289258239993,0.5484416506812386,-0.001150664713967602,0.05721853877642474,0.051235414462834174,0.055356815277571844,0.057184017788437645,0.0006267708998665539,1000
2,l2,21.21146271299996,19.994120669912448,20.180985390605716,18.88508479502405,22.953345366274288,0.5611452413242894,0.7085727304854882,0.6864289332961631,0.8767202646779095,0.11494748912258823,1000
2,norm_ratio,0.4498185063794257,0.6029667344910755,0.5162201235644975,0.5609916868100704,0.1657242092249055,0.05104166608208847,0.031133329144475422,0.05610814053906239,0.03662287947021046,0.030733288801683974,1000
2,spim,0.1628936636436296,0.29148600610431935,0.23673131686434518,0.3090738020865252,-0.00018478869881936123,0.040157178765101005,0.037112859755972505,0.050544557038589434,0.048976329497622345,9.279463438303877e-05,1000
3,cosine,0.21049680801547227,0.4350547102635015,0.5909919453993403,0.6102379215391767,-0.0018772699938900063,0.04867597057300928,0.04928700009242245,0.031721688917484725,0.05761625348282151,0.0006780140240917431,1000
3,l2,22.140136136535272,20.613287220693746,18.29524826973709,17.88172712111628,22.804065053638553,0.2734219176625303,0.6550610679664586,0.4830978332407855,0.9765933008638553,0.08641267732681293,1000
3,norm_ratio,0.24866178203530157,0.5776212447842314,0.5579403655505986,0.5959500148358662,0.11809963852592821,0.03909374703058853,0.0361044852581827,0.04611289780852452,0.03673112932505627,0.030850924141362146,1000
3,spim,0.05307583640658471,0.25225265402603647,0.3297263862464025,0.3651645909991602,-0.00021946767818398197,0.018161896144213426,0.03885463762261519,0.03241531403438404,0.05291267829491834,9.284931415884121e-05,1000
4,cosine,0.14799011114826777,0.4610546977103096,0.6422488458138884,0.6858274038786966,0.00264826757398043,0.06403365842249092,0.042547838024620914,0.029389956789003146,0.03993489231024222,0.0016443787649915477,1000
4,l2,22.390523332755443,20.111968923775013,17.512667355094024,16.63229786648042,22.73220914325369,0.1946009952235334,0.5490094281675472,0.47181771799139377,0.7639443762574866,0.04363507489832751,1000
4,norm_ratio,0.12272060899496752,0.5178344811147907,0.5383601485296285,0.5763890981438002,0.09397263737116049,0.023721802864578014,0.025956938617848434,0.03175403886306072,0.03590772197589223,0.020511307999905568,1000
4,spim,0.01843560641815278,0.23930792228370257,0.3458486679517256,0.3961717534277428,0.0002360499186761437,0.009920271936956758,0.029965769169621015,0.026446046347235557,0.04296010182491147,0.00010367430810567605,1000
5,cosine,0.1172659148019448,0.6455316008557688,0.6019026776996881,0.7489178626420234,0.03803727110176509,0.10841140293315835,0.0490788561920269,0.02765992909628808,0.04268379012051623,0.013930742840242406,1000
5,l2,22.525539874841083,17.64947616633896,18.423713429004735,15.742763043176334,22.63036849669287,0.1576170422786176,0.638172291801536,0.30384914299461546,0.7519297485489117,0.017529739382993566,1000
5,norm_ratio,0.053612782725404796,0.49388929462160414,0.4506571989192935,0.5379093824837371,0.05336032994029504,0.011540144819482491,0.028699056970694466,0.03223906317346198,0.02909357667827259,0.01411641040227399,1000
5,spim,0.006461522577286236,0.31807236398109967,0.27082528212485135,0.4027544012283748,0.0018864300883877846,0.007105904232133111,0.022060694303523816,0.01749295752719482,0.029986673410446477,0.00022383895532398503,1000
6,cosine,0.10255680587182808,0.8486264588905902,0.7004994950762771,0.8954313248942943,0.1846304583464922,0.12367240598764713,0.03301675902891029,0.0458496609838012,0.036398205074273576,0.054152040213550925,1000
6,l2,22.828554183321668,15.739431007221254,18.49366115278877,14.154965487006006,22.70600710997147,0.06333166338705216,0.20622977211384366,0.18770570895704852,0.577177276772222,0.008110858483014901,1000
6,norm_ratio,0.017572637656780667,0.4110037160161399,0.3236354966736969,0.465199298338276,0.046565795719668276,0.0039612690361666885,0.027752561951837448,0.025009023953873947,0.01143521627162871,0.008807527030808263,1000
6,spim,0.001878216286727718,0.34794255223108045,0.2256343455338661,0.4163678685475449,0.00817701740078068,0.0026233063881941276,0.01206834355470809,0.00625490276173475,0.015519171536396162,0.00030784127770276074,1000
0,cosine,1.0,0.0,0.0,0.0,0.0,2.1470330495162369e-16,0.0,0.0,0.0,0.0,2000
0,l2,0.0,28.000162720153806,28.000162720153806,28.000162720153806,28.000162720153806,0.0,0.7197917148441346,0.7197917148441346,0.7197917148441346,0.7197917148441346,2000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000
0,spim,1.0,0.0,0.0,0.0,0.0,2.1470330495162369e-16,0.0,0.0,0.0,0.0,2000
1,cosine,0.627571988754378,0.29121262466137815,0.3764558155710927,0.4575814422179185,-0.0006687060435112034,0.056013423038072975,0.061117157328683884,0.08430955882120865,0.06923187665991763,0.0005623282984952351,2000
1,l2,17.913923224264543,21.779736567746852,20.95074037563365,20.073291123699658,23.56179865543373,1.0886764209817077,0.5177725340908679,0.9044860102697638,0.8648712338101602,0.28773289751102965,2000
1,norm_ratio,0.7821326733276142,0.40720064577851967,0.4537920752716729,0.459151822552461,0.2868100275159774,0.05689001793973681,0.03702456254463834,0.06921492870674453,0.028377487019012118,0.045278500420611184,2000
1,spim,0.49287116341803205,0.11999391721016331,0.17582366901011734,0.21149963098147162,-0.00018838061978438783,0.07050286766839929,0.032119779749218716,0.06645364182487097,0.04389133406296778,0.000154752352834107,2000
2,cosine,0.40585780710546,0.3642756888935064,0.5120628665651332,0.6396327505227627,0.0008600950521941922,0.0575610734783363,0.0655315595094105,0.06490223950205934,0.06328093753854576,0.0011860532280387546,2000
2,l2,20.77991979033252,21.098091129888402,19.413452162157547,17.364540686360904,22.990762748849033,0.6327213725827397,0.6149271350071929,0.890359740943096,1.1935741392664574,0.15943426694954735,2000
2,norm_ratio,0.49521329118205715,0.4237913664012198,0.5118106915986128,0.5853209725021133,0.17468423651840065,0.06747905212355226,0.04072789664032139,0.06753597285809096,0.03772605533403202,0.03986818507789617,2000
2,spim,0.20306477546356919,0.1558177224790374,0.2646490353385833,0.3763270913289886,0.00014137538982132833,0.04955860967604689,0.03640435639091314,0.06300612756475331,0.05933355904885026,0.00018888685253928324,2000
3,cosine,0.2432992327563993,0.3971415483299197,0.6173345719328531,0.7057767662058904,0.0019857459979388476,0.04773789749874384,0.058472549651450496,0.03824623161178736,0.05496896116106451,0.0026454254235036352,2000
3,l2,21.974947913544817,20.75543348455995,17.925336918744954,16.093182957460865,22.768860968380917,0.3026244631885787,0.5555045674196479,0.6183703549704284,1.1693687084979645,0.09530791268237225,2000
3,norm_ratio,0.2761959443156037,0.4115097155557435,0.5332530519244758,0.6168361935485991,0.10246166774378986,0.04738959283172758,0.04346231609106328,0.05319974092254151,0.042060209275035405,0.03799423826454631,2000
3,spim,0.06802341928347302,0.16500643550355454,0.3297209055793162,0.43709812595009867,0.00015111368355740597,0.021365988315036822,0.03618888685549126,0.04351041354068475,0.06025491947029301,0.00017174487833324464,2000
4,cosine,0.1761582094548462,0.4058784676078788,0.6857747718988073,0.7555575573660462,0.006647152677092608,0.061764896160066037,0.05200183470718812,0.03126954592273565,0.04192636372898053,0.005404003925996504,2000
4,l2,22.298235057621813,20.69356118236757,16.87921658999051,15.13999311325163,22.694825475545652,0.21794492175750163,0.4788813527165616,0.5467689439765953,0.9534227976319398,0.042373676184409244,2000
4,norm_ratio,0.14173838624032642,0.36369053318498606,0.5259344908809065,0.6140404837689974,0.0729673274138719,0.027809758403392667,0.03539598614087759,0.04078124363734802,0.04051300084452068,0.024709156372315345,2000
4,spim,0.025238602751399223,0.14870652173732132,0.3608500932156655,0.46479667851428125,0.00040810378133249886,0.011351434178179161,0.029364427231432965,0.03408091254683235,0.04920702561917573,0.0001532166148290225,2000
5,cosine,0.14506850592113202,0.5191323908660139,0.6610476798744125,0.7986306034670679,0.08313385455979135,0.09905249260384016,0.06126952550354699,0.024814941575554035,0.03047960779155951,0.07172516892239811,2000
5,l2,22.476890022274546,19.685108414763654,17.51719283787614,14.256505132020731,22.616653963243323,0.1604907946827332,0.5765156851648164,0.3752384812047802,0.7713639922379405,0.019033036935980515,2000
5,norm_ratio,0.06662264900652223,0.35839879008342934,0.47431594810443534,0.6108978889457557,0.03643402444721832,0.014301133149249134,0.02718645987671148,0.029588957933407295,0.032715136220161666,0.019214224062585987,2000
5,spim,0.00964150173683573,0.18639507328197497,0.3135629033160784,0.48835371532714467,0.0020468063379660817,0.007216452151450527,0.02795334434917862,0.022948232755714424,0.038517564722678754,0.0003490852757226275,2000
6,cosine,0.13313491887215323,0.7182851243815671,0.6987913864006804,0.8541714118040235,0.27561949839659305,0.1147060184496548,0.05398039800369106,0.01987422280247218,0.01853574802090025,0.09189659563109533,2000
