layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,cosine,1.0,0.0,0.0,0.0,0.0,1.5709087522018515e-16,0.0,0.0,0.0,0.0,1000
0,l2,0.0,28.179152636603032,28.179152636603032,28.179152636603032,28.179152636603032,0.0,0.4641701184828876,0.4641701184828876,0.4641701184828876,0.4641701184828876,1000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,spim,1.0,0.0,0.0,0.0,0.0,1.5709087522018515e-16,0.0,0.0,0.0,0.0,1000
1,cosine,0.5497936438678966,0.49010308841390277,0.4457073875442662,0.4312302522608913,-0.0018835482200756037,0.024395253980341813,0.04027421782592181,0.017748370283208668,0.03288992828098415,0.00047513328599877857,1000
1,l2,18.93955094971222,19.771605038709243,20.312675383163132,20.417150057908874,22.881621037788147,0.4232934299652974,0.5787372900688712,0.2305082452133971,0.35719459065627995,0.22113202957538897,1000
1,norm_ratio,0.5649896693903559,0.5511571697821055,0.5103256120395474,0.4466537234789527,0.13755074136180556,0.043778585996291745,0.014756956837873973,0.023536174971740213,0.01793214612976714,0.05723734535765629,1000
1,spim,0.3100972186035982,0.269922958776906,0.2275141021747661,0.1927030647033219,-0.00023734425859225336,0.021071224617658837,0.021006863683804815,0.015245479356205018,0.01769239594507029,5.679504409929882e-05,1000
2,cosine,0.33221313464802454,0.5349929039208151,0.5408054993505012,0.49173519767909124,-0.006542131547001242,0.032483844634957265,0.05027691639887548,0.021983364364286696,0.048793346259355705,0.008894869963135559,1000
2,l2,21.37323375439771,19.169312112136513,19.03721469995468,19.721268683644006,22.680804990365683,0.2751553631894493,0.7624946369234784,0.32303150135359027,0.7253670757088394,0.08297366267148203,1000
2,norm_ratio,0.3130530362160621,0.6073719898608662,0.5530221109659473,0.551054711079884,0.046506254371189604,0.039779026537643036,0.019628954662070326,0.022789563727101687,0.026709929005626555,0.0466546870415609,1000
2,spim,0.1036863410376786,0.3252885121817947,0.2992143121054484,0.2719235995625124,-0.00011276488743416502,0.015333109967899947,0.03449499058930853,0.019937316914144323,0.03981492448745327,3.326865911072709e-05,1000
3,cosine,0.22531359932584205,0.48679717493558655,0.5909893510770893,0.5359532638770507,-0.001536652504613564,0.03486322018184207,0.039373618081993356,0.0275580094061176,0.048047137417392284,0.00043099006350909416,1000
3,l2,22.093881254639204,19.928040388818133,18.24740470650835,19.09686754100772,22.720788097174303,0.16636199075257413,0.5366277938509966,0.44170998657782334,0.7835494631120526,0.025351554342409603,1000
3,norm_ratio,0.1700203086938742,0.6036161948954476,0.596933058650929,0.5833330189522227,0.08640721179425404,0.027542822322512046,0.019140075113674684,0.025093720070767715,0.03608704213492713,0.012572545233670757,1000
3,spim,0.038289180529577374,0.2944083891894925,0.3532499909058567,0.3141828220041351,-0.0001303826290617609,0.009172216501034643,0.03023234057551702,0.027911365251147513,0.04913835141869781,3.2266141586949866e-05,1000
4,cosine,0.2028150547481891,0.4744790875200855,0.6269322939386263,0.6467519296746105,0.00857399441584164,0.04523256069905048,0.025655241634350748,0.018353571039405662,0.023029974260912484,0.0064753905370842435,1000
4,l2,22.336101821388294,19.97283955364913,17.694309843313338,17.32323204707771,22.637010428283965,0.1100694268500376,0.33378390689265436,0.3042213528438248,0.42884863607116974,0.010322596836265005,1000
4,norm_ratio,0.08112701529078678,0.5405566881194069,0.5608600190042928,0.5792271953353758,0.02477649413059672,0.016713537167853065,0.01675218900469712,0.017686303308762436,0.024484158015115817,0.012486203500511424,1000
4,spim,0.016420074910784038,0.2567366184945276,0.35173001818157557,0.37493672631717406,0.000176562095938607,0.005545004415990101,0.01932198449108167,0.01732229983751742,0.02635862205529107,7.06765295488031e-05,1000
5,cosine,0.2504914248513353,0.5875758054730267,0.5736475093675227,0.7247764476356243,0.06600920349133449,0.04373794196439849,0.0333359176812642,0.016014869540238563,0.02727322307930748,0.04001728784869646,1000
5,l2,22.449244150628235,18.403012267708874,18.66126468453368,16.029700828054313,22.61288224190468,0.06508521175526966,0.41780441984898564,0.17678434678318738,0.4503299524173671,0.01032324098632844,1000
5,norm_ratio,0.03549646619921078,0.5176084444739347,0.48538987340317713,0.5626953901940199,0.027874553662150175,0.006997086996483682,0.021572096624246584,0.023231817094449887,0.02000226140007986,0.011351878986502216,1000
5,spim,0.00895179073780015,0.30359371148561565,0.27827672330736486,0.4076176722825885,0.0015601021866307723,0.003146077612506861,0.011332456242934538,0.012309343757063372,0.016414681924148175,0.0002804787228573493,1000
6,cosine,0.34332879017311396,0.8028673875101171,0.5942411212444051,0.8163487533942337,0.4694390500822535,0.04971878486424343,0.03603852498806912,0.05795369065520897,0.050366439816714424,0.17623724464956803,1000
6,l2,22.74636836053776,15.604015840696507,19.109834569245216,15.348429814080092,22.68006921754022,0.02721005585601527,0.10605725932040776,0.2081817881340293,0.8589026524253152,0.0044887252574919,1000
6,norm_ratio,0.01288342481782342,0.4761631006730069,0.3789417829724398,0.4709238996883802,0.01814753485141855,0.0023485898376216056,0.039729428704048685,0.04281208468135962,0.006705695341058168,0.007401589525548663,1000
6,spim,0.004410619139613548,0.38088068718374013,0.22281336482196232,0.3844931539853575,0.007402174869326422,0.001014808434889839,0.017521488414280393,0.009711537589938398,0.025311322367323263,0.0004974300845175065,1000
0,cosine,1.0,0.0,0.0,0.0,0.0,1.4673344476273437e-16,0.0,0.0,0.0,0.0,2000
