layer_idx,func,mean I,mean S,mean T,mean F,mean C,std I,std S,std T,std F,std C,checkpoint
0,cosine,1.0,0.0,0.0,0.0,0.0,1.5629578967216789e-16,0.0,0.0,0.0,0.0,1000
0,l2,0.0,27.699880117172484,27.699880117172484,27.699880117172484,27.699880117172484,0.0,0.8092530124823594,0.8092530124823594,0.8092530124823594,0.8092530124823594,1000
0,norm_ratio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
0,spim,1.0,0.0,0.0,0.0,0.0,1.5629578967216789e-16,0.0,0.0,0.0,0.0,1000
1,cosine,0.5238804406905513,0.4475309213594224,0.4611349762776359,0.38015135368775355,-0.0021462577689553585,0.043063455443576905,0.02945572916376085,0.039275482675968434,0.048763576013529875,0.0005190608061637548,1000
1,l2,19.450947076995156,20.406795413164964,20.11907220684134,20.97395895144681,23.010336219773855,0.7069422527763691,0.43662209519140927,0.48700587357315844,0.5150581487800155,0.1490630839184531,1000
1,norm_ratio,0.6406246448824937,0.5609574573238106,0.5261120353119353,0.44640552257963123,0.17857733027842146,0.03262822487144722,0.02708940195346231,0.04035161050792726,0.023437584468823734,0.03907528127494639,1000
1,spim,0.3357741515877962,0.2508442021103757,0.24369492887287142,0.17006065196759906,-0.0003739345386425497,0.034467317542390394,0.017759989728713815,0.03632998692725996,0.026264732710252973,9.489784259612434e-05,1000
2,cosine,0.3183703299508718,0.4537965331290394,0.5040025769573908,0.5292774480390036,-0.013557459146887807,0.04564694101059373,0.04965499980288186,0.03705529303414972,0.06111708015938484,0.020758650824646886,1000
2,l2,21.511123610258846,20.550406146055924,19.605036900738984,19.165520632733028,22.64575679669454,0.4099177290790667,0.660400700243801,0.5396265617726183,0.8907592144459044,0.01318722596906636,1000
2,norm_ratio,0.3847372499260446,0.6336078852734316,0.5753352131649101,0.5599304174516391,0.02437131030256678,0.03083713625421765,0.03666529806098488,0.03223476256005317,0.04313944592426802,0.0174390797936868,1000
2,spim,0.12260461137898858,0.28870891014975825,0.2905305693308313,0.29833437909291727,-0.00017846995249550245,0.020842790513213808,0.04340427947054233,0.033178851866514585,0.0540543393194007,0.00012879791301505044,1000
3,cosine,0.19766049009050632,0.43271916216796347,0.5836764207205851,0.619734473304033,-0.021008533129167336,0.03901031198532415,0.0372859443492024,0.03148495063481708,0.0581266370398358,0.02255644821649709,1000
3,l2,22.198924002176383,20.680723332206718,18.40501660999914,17.72619110502798,22.645445337237877,0.20413572391154206,0.4733414189310346,0.5202402290676243,1.0014461875413625,0.010930027172459753,1000
3,norm_ratio,0.2081572792797038,0.5823610223668357,0.566482783156378,0.6049414439649665,0.02245029304803455,0.028154047344823647,0.0460102523556188,0.04153819333002096,0.03920915275625182,0.016246375749284468,1000
3,spim,0.04095183464011905,0.2528957653077943,0.3303639873058265,0.37602000550365194,-0.0002315927573918795,0.008942104264969376,0.0366900365437602,0.026964461251134803,0.05197183615014973,5.528789835675459e-05,1000
4,cosine,0.20002411667901035,0.41977442377008284,0.5931593813576161,0.6779090701175533,0.003117356718794288,0.0491853747592472,0.03408085460507939,0.027510422399853605,0.04652402663849843,0.007090199630704536,1000
4,l2,22.279513644006247,20.72665481091854,18.245608611037397,16.674555858498888,22.679735440278687,0.13294947527592238,0.3903652659580591,0.44632889783018215,0.9082700110887136,0.02908706362482622,1000
4,norm_ratio,0.10931139888386458,0.5451428599979513,0.5613365845390181,0.6114578249170401,0.061353872979446854,0.01876208629418414,0.03460322086332641,0.03359271005449625,0.03276699902296278,0.02031049716436471,1000
4,spim,0.02171869015067646,0.22979991301393732,0.3330399379231212,0.41532854680425046,0.0001129121080143841,0.006342814768544398,0.032330177858059785,0.026175875810278495,0.044929950362995255,0.00012008628955925681,1000
5,cosine,0.24816463481874024,0.6005857368639428,0.5981823715323601,0.763574577394756,0.1410333784520694,0.07830528828847153,0.03754071733356815,0.026783709810857655,0.04141826614320464,0.12644987766828517,1000
5,l2,22.411497450891016,18.33770737025219,18.458939534005687,15.3146239860884,22.608302111942255,0.12251910118979423,0.46408682528452955,0.28481026048191754,0.7714949893110418,0.015640884474082743,1000
5,norm_ratio,0.04400090436418382,0.4791969329815233,0.45440094241489914,0.5612164416645989,0.02512203312167812,0.010158028264375653,0.03180715840749075,0.031129677439497027,0.024018864298476994,0.017787361136507196,1000
5,spim,0.011133135318265127,0.28714023589680626,0.2713264800508593,0.4284402607786537,0.001959887955415348,0.005723126681305782,0.017993869082819948,0.01536226849141553,0.02785805598094549,0.0002209871474146215,1000
6,cosine,0.2726851249513954,0.8616769689879684,0.7099038761941701,0.9129467296189598,0.6935865720251255,0.07725655082261307,0.030731260706634882,0.04723494014954797,0.033248289609721114,0.22846025364624267,1000
6,l2,22.779838966840195,15.64287568550123,18.59989732523494,13.870624042217822,22.680324651704453,0.048600750073886735,0.16914587950303964,0.17792781323860116,0.5877304105689689,0.003539794894541248,1000
6,norm_ratio,0.013694421823034795,0.4054428028591411,0.3065211487323595,0.46336949454686305,0.013707205228101949,0.00389247128282845,0.028520619301116937,0.026608325359892875,0.008258463446052229,0.006284775413397766,1000
6,spim,0.0038166325382800728,0.3485460606091918,0.21643436897644833,0.423046050949275,0.008156886926804607,0.001981863461859863,0.013071116867677325,0.007064217627049724,0.0174591403869747,0.0003388795414039134,1000
0,cosine,1.0,0.0,0.0,0.0,0.0,1.6321736884048242e-16,0.0,0.0,0.0,0.0,2000
